"Entidad federativa  
   Instituciones y sectores",Población de 18 años y más1,Percepción sobre la frecuencia de corrupción en instituciones y sectores 2,,,,,,,
,,Muy frecuente,,Frecuente,,Poco frecuente,, Nunca,
,,Absolutos,Relativos,Absolutos,Relativos,Absolutos,Relativos,Absolutos,Relativos
grupo,entidad,MuyFrecuente_tot,Muy_frecuente,Frecuente_tot,Frecuente,Pocofrecuente_tot,Poco_frecuente,Nunca_tot,Nunca
Gobiernos Estatales,Guanajuato,477557,25.8591944,732401,39.65872104,371964,20.1414478,75609,4.094145473
Ministerio Público,Guanajuato,519116,28.10956925,690741,37.40287715,327010,17.70723738,136460,7.389161228
Gobierno Federal,Guanajuato,644687,34.90910292,563340,30.50425096,339112,18.36254758,104057,5.634573867
Jueces y Magistrados,Guanajuato,501370,27.14864257,637779,34.5350422,319671,17.30983848,143624,7.77708407
Gobiernos Municipales,Guanajuato,429073,23.23383831,705972,38.2276193,366304,19.83496493,149779,8.110370655
Empresarios,Guanajuato,425751,23.05395561,656773,35.56354673,395136,21.39618651,80610,4.364944208
Institutos electorales,Guanajuato,395456,21.41351416,645770,34.9677462,406507,22.01191384,212507,11.50702393
Medios de comunicación,Guanajuato,379932,20.57290637,656257,35.53560589,444155,24.05051228,168051,9.099779668
Sindicatos,Guanajuato,395144,21.3966197,550255,29.79571238,318023,17.22060106,162967,8.824486574
Hospitales públicos,Guanajuato,269616,14.59941443,555458,30.0774492,638164,34.55588953,211119,11.43186523
Comisiones de Derechos Humanos,Guanajuato,262856,14.23336775,477243,25.84219164,588076,31.84367857,243298,13.17432323
Instituciones religiosas,Guanajuato,225252,12.19715188,481899,26.094309,539393,29.20754684,403723,21.86116326
Universidades públicas,Guanajuato,216913,11.74560406,486969,26.36884401,611786,33.1275494,116293,6.297140017
Guardia Nacional,Guanajuato,261188,14.14304736,414656,22.45317337,509182,27.57165391,257263,13.93051286
ONG's,Guanajuato,159585,8.641354936,482835,26.14499239,596642,32.3075182,266203,14.41460418
Escuelas públicas de nivel básico,Guanajuato,200103,10.83536076,438519,23.74532898,710035,38.44762636,312650,16.92965893
Ejército y Marina,Guanajuato,217278,11.76536841,399017,21.60633846,574822,31.12598883,332832,18.02249238
Organismos Autónomos Públicos/Descentralizados,Guanajuato,129251,6.998801684,376568,20.39074942,642342,34.78212371,349655,18.93343961
Compañeros de trabajo,Guanajuato,142422,7.711997072,296250,16.04161669,449589,24.34475749,571789,30.96175516
Familiares,Guanajuato,86980,4.70987281,276202,14.9560392,529349,28.66367512,827017,44.78207498
Vecinos,Guanajuato,111892,6.058830632,230081,12.458637,556897,30.15536949,689929,37.35890823
,,,,,,,,,
Guerrero,769601,,,,,,,,
Policías,Guerrero,379905,49.36389116,259178,33.67693129,76204,9.901754286,14401,1.871229377
Partidos políticos,Guerrero,341029,44.31244242,275597,35.81037447,82907,10.77272509,19884,2.583676477
Ministerio Público,Guerrero,299131,38.86832268,254362,33.05115248,115550,15.01427363,30030,3.902021957
Gobiernos Estatales,Guerrero,248205,32.25112753,303752,39.46876368,132343,17.19631341,21454,2.78767829
Gobiernos Municipales,Guerrero,230422,29.94044966,310938,40.40249428,138835,18.03986741,19962,2.593811598
Cámaras de Diputados y Senadores,Guerrero,257159,33.41458756,271070,35.22214758,121907,15.84028607,28199,3.664106466
Jueces y Magistrados,Guerrero,211637,27.49957445,297991,38.72019397,136576,17.74633869,32248,4.190223246
Empresarios,Guerrero,168752,21.92720644,321368,41.757742,151526,19.68890373,31962,4.153061132
Universidades públicas,Guerrero,191777,24.91901648,295825,38.43874943,162218,21.07819506,20664,2.685027696
Gobierno Federal,Guerrero,190150,24.70760823,271153,35.23293239,166346,21.6145769,67865,8.818205798
Sindicatos,Guerrero,177250,23.03141498,273431,35.52892993,155943,20.2628375,40002,5.197758319
Medios de comunicación,Guerrero,165381,21.48918725,281789,36.61494723,199466,25.91810562,51758,6.725303112
Institutos electorales,Guerrero,163013,21.18149535,282003,36.64275384,178334,23.17226719,60896,7.912671631
Hospitales públicos,Guerrero,134308,17.45164053,274670,35.68992244,232165,30.16693066,64901,8.433071163
Comisiones de Derechos Humanos,Guerrero,119787,15.56481865,247408,32.14756738,217881,28.31090396,80202,10.42124426
Escuelas públicas de nivel básico,Guerrero,90703,11.78571753,253127,32.89067972,294000,38.20161356,69270,9.00076793
ONG's,Guerrero,96516,12.541044,222600,28.92407884,253700,32.96513388,85881,11.1591591
Instituciones religiosas,Guerrero,78770,10.23517381,204454,26.56623367,274373,35.65133101,131360,17.06858489
Organismos Autónomos Públicos/Descentralizados,Guerrero,64645,8.399807173,188618,24.50854404,268838,34.93212717,122397,15.90395543
Compañeros de trabajo,Guerrero,59718,7.759605302,166178,21.59274741,216508,28.13249983,153218,19.90875791
Ejército y Marina,Guerrero,60234,7.826653032,156259,20.30389773,296713,38.5541339,150200,19.51660666
Guardia Nacional,Guerrero,56624,7.357578797,137694,17.89160877,230627,29.96708684,146125,18.9871115
Familiares,Guerrero,32684,4.246875979,136256,17.7047587,273457,35.5323083,277485,36.05569639
Vecinos,Guerrero,33131,4.304958024,100593,13.07079902,279089,36.26411608,265424,34.48852067
,,,,,,,,,
Hidalgo,410534,,,,,,,,
Policías,Hidalgo,226943,55.27995245,131457,32.02097756,36037,8.778079282,7467,1.81885057
Partidos políticos,Hidalgo,201461,49.07291479,155188,37.80149756,33506,8.161565181,6873,1.674160971
Cámaras de Diputados y Senadores,Hidalgo,129040,31.43223217,185966,45.29856236,50008,12.18120789,8836,2.152318687
Ministerio Público,Hidalgo,153778,37.45804245,156420,38.10159451,59331,14.45215256,11559,2.815601144
Gobiernos Estatales,Hidalgo,124797,30.39870023,182777,44.52176921,62812,15.30007259,11013,2.682603633
Gobiernos Municipales,Hidalgo,122760,29.90251721,184444,44.92782571,65167,15.8737157,18007,4.386238411
Medios de comunicación,Hidalgo,92322,22.48827137,197364,48.07494629,73959,18.01531664,20970,5.107981312
Jueces y Magistrados,Hidalgo,92197,22.45782323,196632,47.89664193,64810,15.78675579,18144,4.419609582
Institutos electorales,Hidalgo,91975,22.40374731,184655,44.97922218,90183,21.96724266,23356,5.689175562
Gobierno Federal,Hidalgo,114475,27.88441396,157312,38.31887249,78119,19.028631,26117,6.361714255
Empresarios,Hidalgo,91112,22.1935333,175981,42.8663643,85629,20.85795574,15782,3.844261377
Sindicatos,Hidalgo,84943,20.6908563,148776,36.23962936,85562,20.84163553,29458,7.175532355
Universidades públicas,Hidalgo,71432,17.39977688,152614,37.1745093,123794,30.15438429,16313,3.973605109
Hospitales públicos,Hidalgo,62894,15.32004657,146389,35.65819153,138043,33.62522958,36755,8.952973444
Instituciones religiosas,Hidalgo,58065,14.14377372,148426,36.15437455,112385,27.37532092,63139,15.37972494
Comisiones de Derechos Humanos,Hidalgo,50010,12.18169506,138932,33.84177681,136675,33.29200505,44526,10.84587391
ONG's,Hidalgo,34676,8.446559846,121702,29.64480408,144892,35.29354451,37716,9.187058806
Escuelas públicas de nivel básico,Hidalgo,23389,5.697213873,120360,29.31791277,169258,41.2287411,61637,15.01386
Ejército y Marina,Hidalgo,31372,7.641754398,101076,24.62061608,167437,40.78517248,65458,15.94459899
Organismos Autónomos Públicos/Descentralizados,Hidalgo,24812,6.04383559,106435,25.92598908,167146,40.71428919,61560,14.99510394
Guardia Nacional,Hidalgo,31859,7.760380383,96712,23.55761033,150982,36.77697828,55594,13.54187473
Vecinos,Hidalgo,18246,4.44445527,62594,15.24697102,130669,31.82903243,140978,34.34015209
Familiares,Hidalgo,12891,3.140056609,66022,16.08198103,130985,31.90600535,187030,45.557737
Compañeros de trabajo,Hidalgo,19259,4.691207062,58361,14.21587493,119065,29.00246995,110369,26.88425319
,,,,,,,,,
Jalisco,3267971,,,,,,,,
Policías,Jalisco,1887072,57.74445367,996724,30.49978106,255184,7.808637225,58606,1.793345167
Partidos políticos,Jalisco,1600880,48.98697081,1196748,36.62052081,249895,7.646793683,84988,2.600635073
Gobiernos Estatales,Jalisco,1338861,40.96918241,1235207,37.79736723,406683,12.44451068,92424,2.828176872
Cámaras de Diputados y Senadores,Jalisco,1107729,33.89653703,1379776,42.2211825,384596,11.76864789,83918,2.567893044
Ministerio Público,Jalisco,1384340,42.36084102,1088135,33.2969601,463058,14.16958718,116019,3.550184503
Jueces y Magistrados,Jalisco,1097082,33.57073854,1354530,41.44865423,424795,12.99873836,102436,3.13454434
Gobiernos Municipales,Jalisco,986978,30.2015532,1324358,40.52539022,604854,18.50854858,100208,3.06636748
Empresarios,Jalisco,969038,29.65258872,1334828,40.8457725,515031,15.75996237,127129,3.8901508
Medios de comunicación,Jalisco,1005289,30.76187029,1234719,37.78243442,639567,19.5707673,181350,5.54931485
Gobierno Federal,Jalisco,1015344,31.06955355,1126878,34.48249694,680878,20.83488501,199565,6.106694337
Sindicatos,Jalisco,936244,28.64909144,1156324,35.38354533,622805,19.05784966,127964,3.915701822
Institutos electorales,Jalisco,940496,28.77920275,1111859,34.02291514,681359,20.84960362,262935,8.045818032
Universidades públicas,Jalisco,593534,18.16215627,1155335,35.3532819,940160,28.76892114,125333,3.835193152
Instituciones religiosas,Jalisco,612163,18.73220417,896136,27.42178557,994271,30.42471919,525189,16.07079745
Hospitales públicos,Jalisco,516688,15.81066662,988228,30.23980323,1165587,35.66699337,329380,10.07903681
Comisiones de Derechos Humanos,Jalisco,456143,13.957988,988233,30.23995623,1154115,35.31594987,313204,9.584050776
ONG's,Jalisco,324431,9.927597277,937254,28.67999747,1179609,36.09606695,406298,12.43272967
Escuelas públicas de nivel básico,Jalisco,294034,8.997448264,957817,29.30922582,1389432,42.51665636,373977,11.4437062
Organismos Autónomos Públicos/Descentralizados,Jalisco,267692,8.191382359,846902,25.91522385,1259850,38.55144369,444841,13.6121465
Guardia Nacional,Jalisco,409630,12.53468896,547207,16.74454883,941660,28.81482118,468065,14.32280152
Ejército y Marina,Jalisco,286013,8.752005449,626558,19.17269156,1349660,41.2996321,557631,17.06352351
Compañeros de trabajo,Jalisco,229614,7.026194541,467008,14.29045729,842736,25.78774414,718860,21.99713523
Vecinos,Jalisco,143090,4.378557827,496279,15.18615067,1107903,33.90186143,1069838,32.73707141
Familiares,Jalisco,159975,4.895239278,455377,13.93454838,1189253,36.39117361,1282787,39.25331651
,,,,,,,,,
Estado de México,9892687,,,,,,,,
Policías,Estado de México,6055291,61.20977041,3135798,31.69814227,512686,5.182474691,115307,1.165578169
Partidos políticos,Estado de México,4831495,48.83905657,4079027,41.23275102,679251,6.866193179,206127,2.083630059
Ministerio Público,Estado de México,5151167,52.07045366,3448474,34.85882046,995039,10.05832895,96223,0.972667992
Cámaras de Diputados y Senadores,Estado de México,3637280,36.76736159,4723462,47.74700746,1034233,10.4545206,142480,1.440255817
Gobiernos Estatales,Estado de México,3608768,36.47914869,4666488,47.17108709,1222063,12.35319585,100295,1.013829711
Gobiernos Municipales,Estado de México,3294196,33.29930483,4664425,47.1502333,1407688,14.22958191,233066,2.355942324
Jueces y Magistrados,Estado de México,2844199,28.75052046,4875946,49.28838848,1556637,15.73522947,222328,2.247397497
Institutos electorales,Estado de México,2812585,28.43095107,4522239,45.71294937,1883567,19.03999389,353879,3.577177768
Gobierno Federal,Estado de México,3113592,31.47367343,3995234,40.3857314,1707803,17.26328752,590288,5.966912731
Medios de comunicación,Estado de México,2262800,22.87346198,4759604,48.11234804,2161133,21.84576344,341723,3.45429912
Sindicatos,Estado de México,2482000,25.08924016,4475318,45.23864952,1778533,17.9782601,236981,2.395517012
Empresarios,Estado de México,2298021,23.22949265,4623351,46.73503771,2017912,20.39801724,210184,2.124640151
Comisiones de Derechos Humanos,Estado de México,1439109,14.54720037,3651308,36.9091633,3469010,35.06640815,652814,6.59895537
Hospitales públicos,Estado de México,1444283,14.59950163,3327403,33.63497703,3879200,39.21280437,774098,7.824951906
Instituciones religiosas,Estado de México,1541244,15.57962968,3109166,31.42893331,3890767,39.32972912,948076,9.583604535
ONG's,Estado de México,778922,7.8737152,3514592,35.52717275,4294349,43.40932853,481258,4.864785472
Guardia Nacional,Estado de México,1137873,11.50216316,3129867,31.6381889,3655866,36.95523774,874295,8.837790986
Universidades públicas,Estado de México,970836,9.813673474,3168078,32.02444391,3990281,40.33566411,530820,5.365781814
Ejército y Marina,Estado de México,814321,8.231545181,2753947,27.83821018,4693767,47.44683623,1041518,10.52816085
Escuelas públicas de nivel básico,Estado de México,803499,8.122151242,2592334,26.20454888,4992801,50.46961457,1200781,12.13806724
Organismos Autónomos Públicos/Descentralizados,Estado de México,781258,7.897328602,2608363,26.36657765,5014366,50.68760388,783998,7.92502583
Compañeros de trabajo,Estado de México,596522,6.029928977,2115125,21.38069263,3569297,36.08015699,1174289,11.87027347
Vecinos,Estado de México,487502,4.927902803,1739462,17.58331179,4672353,47.23037331,2252729,22.77165951
Familiares,Estado de México,357163,3.610374007,1471193,14.87152075,4332711,43.79710993,3469851,35.07490937
,,,,,,,,,
Michoacán de Ocampo,851551,,,,,,,,
Policías,Michoacán de Ocampo,523351,61.45856208,250998,29.47539255,55549,6.523273415,2649,0.31107943
Partidos políticos,Michoacán de Ocampo,509857,59.87392417,261418,30.6990421,43856,5.150131936,11702,1.374198374
Gobiernos Estatales,Michoacán de Ocampo,430427,50.54623857,292339,34.33018105,80576,9.462263564,6653,0.781280276
Ministerio Público,Michoacán de Ocampo,388791,45.6568074,277115,32.54238443,116790,13.71497421,24423,2.86806075
Cámaras de Diputados y Senadores,Michoacán de Ocampo,372079,43.69427081,277016,32.53075858,95190,11.17842619,9900,1.162584508
Gobiernos Municipales,Michoacán de Ocampo,288478,33.87677309,338615,39.76450031,146616,17.21752426,20034,2.352648285
Gobierno Federal,Michoacán de Ocampo,334653,39.29923164,269818,31.68547744,146290,17.17924117,28427,3.338261596
Jueces y Magistrados,Michoacán de Ocampo,286973,33.70003676,310840,36.50280488,117427,13.78977889,29828,3.502784918
Sindicatos,Michoacán de Ocampo,241799,28.39512842,328878,38.62105734,128565,15.09774517,30823,3.619630533
Institutos electorales,Michoacán de Ocampo,234142,27.49594563,317708,37.3093332,203857,23.93949394,43902,5.155533844
Empresarios,Michoacán de Ocampo,198546,23.31580845,348690,40.94763555,156246,18.34840192,22264,2.614523381
Medios de comunicación,Michoacán de Ocampo,172563,20.26455256,360700,42.35800322,197257,23.1644376,48355,5.678462006
Hospitales públicos,Michoacán de Ocampo,147567,17.32920283,284938,33.46106105,312834,36.73696584,49587,5.82313919
Universidades públicas,Michoacán de Ocampo,130603,15.33707318,301185,35.36899141,228709,26.85793335,28676,3.367502357
Escuelas públicas de nivel básico,Michoacán de Ocampo,110012,12.91901483,263168,30.90454946,336694,39.53891194,73105,8.584923275
Instituciones religiosas,Michoacán de Ocampo,134405,15.7835526,197743,23.22150993,321700,37.77812486,106470,12.50306793
Comisiones de Derechos Humanos,Michoacán de Ocampo,85611,10.0535376,240604,28.25479625,307209,36.07640646,83837,9.845211855
ONG's,Michoacán de Ocampo,85429,10.03216484,234210,27.50393106,326882,38.38666152,69178,8.123764754
Guardia Nacional,Michoacán de Ocampo,74158,8.708579991,190838,22.41063659,297657,34.95468856,110343,12.95788508
Ejército y Marina,Michoacán de Ocampo,59653,7.005217538,179629,21.09433258,359809,42.25337061,153330,18.00596793
Organismos Autónomos Públicos/Descentralizados,Michoacán de Ocampo,46527,5.463794887,168796,19.82218329,369799,43.42652407,116732,13.7081631
Compañeros de trabajo,Michoacán de Ocampo,50596,5.941628863,143947,16.90409617,249012,29.24217105,167163,19.63041556
Familiares,Michoacán de Ocampo,32379,3.802355936,114819,13.4835142,305726,35.90225365,343678,40.35906246
Vecinos,Michoacán de Ocampo,29899,3.511122646,82376,9.673642565,342921,40.27016585,307101,36.06372372
,,,,,,,,,
Morelos,781571,,,,,,,,
Policías,Morelos,494941,63.32642844,210967,26.99268525,49964,6.392765341,9255,1.184153455
Partidos políticos,Morelos,455901,58.33136081,224818,28.76488508,58654,7.504628498,16538,2.11599458
Gobiernos Estatales,Morelos,351787,45.01024219,279379,35.74582476,95708,12.24559253,20353,2.604114022
Cámaras de Diputados y Senadores,Morelos,385647,49.34254214,235153,30.08722176,75044,9.601686859,20011,2.560356001
Ministerio Público,Morelos,357134,45.69437709,261412,33.4469933,99250,12.69878232,21383,2.735899873
Gobiernos Municipales,Morelos,302305,38.67914751,286530,36.66077682,120600,15.43045993,34603,4.427364884
Jueces y Magistrados,Morelos,284193,36.36176368,274479,35.11888235,112754,14.4265844,22504,2.879328941
Gobierno Federal,Morelos,282015,36.08309418,228720,29.26413595,151933,19.43943672,55894,7.151493594
Medios de comunicación,Morelos,236218,30.22348577,272436,34.85748576,169242,21.65407877,46704,5.975656722
Empresarios,Morelos,197026,25.20897014,310656,39.74763649,163950,20.97698098,23664,3.027747959
Institutos electorales,Morelos,242410,31.01573625,257331,32.92483984,170914,21.86800687,47723,6.106035152
Sindicatos,Morelos,225096,28.80045447,246754,31.57153989,139393,17.83497597,40892,5.232026265
Universidades públicas,Morelos,145266,18.58641122,280989,35.95182012,218692,27.98107913,31755,4.062970607
Hospitales públicos,Morelos,144298,18.4625581,257375,32.93046953,266046,34.03990169,66241,8.475365642
Instituciones religiosas,Morelos,144095,18.43658478,219360,28.06654802,239968,30.70328863,120592,15.42943635
Comisiones de Derechos Humanos,Morelos,133274,17.05206565,219909,28.13679116,253781,32.47062647,70226,8.985236146
Escuelas públicas de nivel básico,Morelos,104978,13.4316652,227128,29.06044364,326124,41.72672732,76000,9.724004601
ONG's,Morelos,79819,10.21263583,236871,30.30703545,286056,36.60012974,58971,7.545187833
Guardia Nacional,Morelos,83368,10.66672126,166332,21.28175175,249226,31.88782593,98517,12.60499686
Organismos Autónomos Públicos/Descentralizados,Morelos,60352,7.721883233,187359,23.97210234,312438,39.97563881,95880,12.26759949
Ejército y Marina,Morelos,73299,9.378418595,163103,20.86860951,290902,37.22016298,152981,19.57352563
Compañeros de trabajo,Morelos,54637,6.990663676,158802,20.31830761,261692,33.48281858,135056,17.28006797
Familiares,Morelos,45339,5.801008482,110687,14.16211707,305282,39.06004701,288301,36.88737172
Vecinos,Morelos,42354,5.419085406,107840,13.79785074,325212,41.61003927,231782,29.65591098
,,,,,,,,,
Nayarit,329203,,,,,,,,
Policías,Nayarit,141937,43.11534221,136856,41.57191763,30007,9.115044517,5745,1.745123829
Partidos políticos,Nayarit,163488,49.66175885,110366,33.52521089,30661,9.313706133,7428,2.256358539
Gobiernos Estatales,Nayarit,106819,32.4477602,144924,44.02268509,48073,14.60284384,9429,2.864190181
Universidades públicas,Nayarit,104207,31.65432879,138791,42.15970085,44052,13.38140904,7130,2.165836885
Gobiernos Municipales,Nayarit,92269,28.02799488,144083,43.76721962,52269,15.87743733,12081,3.669772147
Cámaras de Diputados y Senadores,Nayarit,95994,29.15951556,130232,39.5597853,46032,13.98286164,7775,2.361764625
Ministerio Público,Nayarit,95470,29.00034325,129972,39.48080668,53973,16.39505108,12477,3.790062667
Jueces y Magistrados,Nayarit,91090,27.6698572,123583,37.54005887,52763,16.02749671,15492,4.705910942
Gobierno Federal,Nayarit,83464,25.3533534,125753,38.19922662,57830,17.56666859,22189,6.740218042
Sindicatos,Nayarit,81125,24.64284955,125818,38.21897127,52517,15.95277078,12552,3.812844962
Institutos electorales,Nayarit,78333,23.79474063,127745,38.80432438,68275,20.73948293,20530,6.236273667
Medios de comunicación,Nayarit,66639,20.24252513,136104,41.34348715,72746,22.0976115,19353,5.878743511
Hospitales públicos,Nayarit,67158,20.40017861,127325,38.67674353,84338,25.61884308,25930,7.876598937
Empresarios,Nayarit,68332,20.75679748,124125,37.70469892,64152,19.48706421,14045,4.266364523
Comisiones de Derechos Humanos,Nayarit,37203,11.30092982,112626,34.21171739,84397,25.63676516,35054,10.64814112
Escuelas públicas de nivel básico,Nayarit,35950,10.92031361,110462,33.55437223,107659,32.70292191,40335,12.25231848
ONG's,Nayarit,28984,8.804294007,115770,35.16675121,90532,27.50035692,20823,6.325276501
Organismos Autónomos Públicos/Descentralizados,Nayarit,24021,7.296713578,111782,33.95534063,85117,25.85547519,30290,9.201009711
Instituciones religiosas,Nayarit,39477,11.99168902,91961,27.93443559,96951,29.45021765,66416,20.17478577
Ejército y Marina,Nayarit,23242,7.060081469,77593,23.56995532,108117,32.84204579,72164,21.92082089
Guardia Nacional,Nayarit,24667,7.492945083,70333,21.36462912,86320,26.22090321,57398,17.43544257
Familiares,Nayarit,13240,4.021834552,63230,19.20699386,91103,27.67380613,138064,41.93886447
Compañeros de trabajo,Nayarit,19162,5.820724599,53573,16.2735455,72140,21.91353056,78948,23.98155545
Vecinos,Nayarit,12232,3.715640501,48152,14.62684119,94874,28.81929995,126053,38.2903558
,,,,,,,,,
Nuevo León,3275338,,,,,,,,
Policías,Nuevo León,1580148,48.24381484,1114790,34.0358766,351831,10.74182268,60932,1.860327087
Partidos políticos,Nuevo León,1282319,39.15073803,1288327,39.33416948,330991,10.10555247,93701,2.860803984
Gobiernos Estatales,Nuevo León,1388237,42.38454169,1140029,34.80645356,428233,13.07446743,52883,1.614581457
Cámaras de Diputados y Senadores,Nuevo León,948814,28.96843013,1320302,40.31040461,445792,13.61056477,126856,3.873065925
Gobierno Federal,Nuevo León,1061706,32.41515837,1093952,33.39966745,518037,15.81629133,190349,5.811583415
Ministerio Público,Nuevo León,904648,27.61998914,1246686,38.06281978,528875,16.14718847,176171,5.37871206
Gobiernos Municipales,Nuevo León,832046,25.40336295,1297803,39.62348313,646848,19.74904575,166545,5.084818727
Empresarios,Nuevo León,787491,24.04304533,1243348,37.96090663,641674,19.59107732,120913,3.691619002
Jueces y Magistrados,Nuevo León,672860,20.54322333,1273032,38.86719478,588996,17.98275476,167269,5.106923316
Sindicatos,Nuevo León,778894,23.7805686,1156490,35.30902765,535785,16.35815907,209592,6.399095299
Medios de comunicación,Nuevo León,755454,23.06491727,1153709,35.22412038,714331,21.80938273,248894,7.599032527
Institutos electorales,Nuevo León,670386,20.46768914,1148460,35.06386211,756395,23.09364713,277755,8.480193495
Hospitales públicos,Nuevo León,487790,14.89281412,1004878,30.68013133,1030048,31.44860164,268673,8.202909135
Universidades públicas,Nuevo León,464129,14.17041539,892512,27.2494625,983600,30.03048846,147028,4.488941294
Comisiones de Derechos Humanos,Nuevo León,326682,9.973993524,913600,27.89330445,922263,28.15779623,453079,13.83304563
Guardia Nacional,Nuevo León,300853,9.185403155,791850,24.17613083,866829,26.46532969,469701,14.34053524
Instituciones religiosas,Nuevo León,337126,10.29286138,737286,22.51022643,1028674,31.40665177,722084,22.04609112
Escuelas públicas de nivel básico,Nuevo León,283222,8.647107566,786020,23.99813393,1215469,37.1097273,530119,16.18516929
ONG's,Nuevo León,271988,8.304120063,759107,23.17644774,1057669,32.29190392,500893,15.29286443
Ejército y Marina,Nuevo León,243426,7.432087925,702644,21.45256459,1092855,33.36617473,665672,20.32376506
Organismos Autónomos Públicos/Descentralizados,Nuevo León,197414,6.027286344,699568,21.35865062,1029448,31.43028292,644519,19.67793858
Compañeros de trabajo,Nuevo León,171536,5.237199947,469566,14.33641352,895759,27.34859731,622771,19.01394604
Familiares,Nuevo León,116401,3.553862227,404722,12.35664838,979284,29.8987158,1493304,45.59236329
Vecinos,Nuevo León,86342,2.636124882,375670,11.46965596,1110600,33.90795087,1229002,37.52290603
,,,,,,,,,
Oaxaca,489775,,,,,,,,
Partidos políticos,Oaxaca,279608,57.08907151,152049,31.04466337,38766,7.915063039,6213,1.268541677
Policías,Oaxaca,227720,46.49481905,185446,37.86350875,56163,11.46710224,10034,2.04869583
Gobiernos Estatales,Oaxaca,196615,40.14394365,201817,41.20606401,65226,13.31754377,5780,1.180133735
Gobiernos Municipales,Oaxaca,174285,35.58470726,216937,44.29319586,71870,14.67408504,8623,1.760604359
Cámaras de Diputados y Senadores,Oaxaca,185818,37.939462,199671,40.76790363,60163,12.28380379,6726,1.373283651
Sindicatos,Oaxaca,201336,41.10785565,174142,35.55551018,60455,12.343423,11407,2.329028636
Ministerio Público,Oaxaca,178956,36.53841049,191946,39.19064877,78979,16.12556786,11618,2.372109642
Universidades públicas,Oaxaca,162073,33.09131744,199687,40.77117044,82978,16.94206523,3862,0.788525343
Jueces y Magistrados,Oaxaca,151565,30.94584248,199180,40.66765351,81045,16.54739421,13256,2.706548926
Empresarios,Oaxaca,129279,26.39558981,202931,41.43351539,100316,20.48205809,12887,2.631208208
Gobierno Federal,Oaxaca,154039,31.45097239,168404,34.38395181,106378,21.71976928,29439,6.010719208
Institutos electorales,Oaxaca,135032,27.57021081,183638,37.49435965,117791,24.05002297,27679,5.651370527
Medios de comunicación,Oaxaca,115614,23.60553315,191046,39.00689092,127403,26.01255679,23329,4.763207595
Hospitales públicos,Oaxaca,76141,15.54611812,171809,35.07916901,187410,38.26450921,29775,6.079322138
Comisiones de Derechos Humanos,Oaxaca,76583,15.63636364,163069,33.29467613,157551,32.16803634,35562,7.2608851
ONG's,Oaxaca,47566,9.711806442,167254,34.14915012,196870,40.19600837,30228,6.171813588
Instituciones religiosas,Oaxaca,69705,14.23204533,139436,28.46939921,174189,35.56510643,70164,14.32576183
Escuelas públicas de nivel básico,Oaxaca,45573,9.304884896,148746,30.37027206,223441,45.62115257,39007,7.964269307
Organismos Autónomos Públicos/Descentralizados,Oaxaca,31852,6.503394416,136211,27.81093359,218057,44.52187229,44537,9.093359196
Compañeros de trabajo,Oaxaca,26522,5.415139605,128765,26.29064366,148458,30.31146955,76875,15.69598285
Guardia Nacional,Oaxaca,28063,5.729773876,97223,19.85054362,188270,38.44010005,66728,13.6242152
Ejército y Marina,Oaxaca,24603,5.023327038,90044,18.38476852,223198,45.57153795,80280,16.39120004
Familiares,Oaxaca,15995,3.26578531,76599,15.63963044,216913,44.28829565,163657,33.41473125
Vecinos,Oaxaca,18623,3.802358226,53246,10.87152264,234640,47.90771273,144084,29.41840641
,,,,,,,,,
Puebla,1769155,,,,,,,,
Policías,Puebla,1014134,57.32307231,601217,33.98328581,118642,6.706139372,17863,1.009691067
Partidos políticos,Puebla,955884,54.03054,627976,35.4958158,123563,6.984294762,28187,1.593246493
Cámaras de Diputados y Senadores,Puebla,680060,38.43982014,764059,43.18779304,186219,10.52587252,39536,2.234739183
Ministerio Público,Puebla,733625,41.46753676,690690,39.04067196,236950,13.39339967,48283,2.72915601
Gobiernos Municipales,Puebla,579394,32.74975907,806225,45.57119077,254362,14.37759834,59433,3.359400392
Jueces y Magistrados,Puebla,539590,30.49987141,797319,45.0677866,269319,15.2230302,53421,3.019577143
Gobiernos Estatales,Puebla,578763,32.71409232,757295,42.80546363,275839,15.59156773,57533,3.252004488
Empresarios,Puebla,476431,26.929862,796836,45.04048543,322602,18.23480701,56606,3.199606592
Sindicatos,Puebla,438978,24.81286264,796062,44.99673573,243910,13.78680783,63566,3.593014744
Institutos electorales,Puebla,481406,27.21106969,749065,42.34026979,366887,20.73797943,94469,5.339780856
Gobierno Federal,Puebla,582535,32.92730145,625013,35.32833471,328604,18.57406502,150181,8.488854849
Medios de comunicación,Puebla,426995,24.13553363,773756,43.73590782,418122,23.63399476,89430,5.054955614
Hospitales públicos,Puebla,298153,16.85284783,619946,35.0419268,618873,34.98127637,136659,7.724535159
Universidades públicas,Puebla,249091,14.0796595,622342,35.17735868,617638,34.91146903,85141,4.812523493
Comisiones de Derechos Humanos,Puebla,286490,16.19360655,565798,31.98125659,583897,33.00428736,177049,10.00754598
Instituciones religiosas,Puebla,309059,17.46930032,538515,30.43910794,554315,31.33218966,289174,16.3453174
Escuelas públicas de nivel básico,Puebla,183538,10.37433125,545472,30.83234652,718085,40.58915132,220477,12.46227719
ONG's,Puebla,173640,9.814855114,523863,29.61091595,681570,38.52517162,190358,10.75982602
