"Entidad federativa  
   Instituciones y sectores",Población de 18 años y más1,Percepción sobre la frecuencia de corrupción en instituciones y sectores 2,,,,,,,
,,Muy frecuente,,Frecuente,,Poco frecuente,, Nunca,
,,Absolutos,Relativos,Absolutos,Relativos,Absolutos,Relativos,Absolutos,Relativos
grupo,entidad,MuyFrecuente_tot,Muy_frecuente,Frecuente_tot,Frecuente,Pocofrecuente_tot,Poco_frecuente,Nunca_tot,Nunca
Jueces y Magistrados,Baja California Sur,39836,17.95562928,86012,38.7689423,46134,20.79438199,13928,6.277889461
Institutos electorales,Baja California Sur,43305,19.51924204,79737,35.94055657,51787,23.34240821,17757,8.003768176
Medios de comunicación,Baja California Sur,35985,16.21983431,84908,38.2713267,59955,27.02404241,13491,6.080916622
Sindicatos,Baja California Sur,41315,18.6222719,71579,32.26342976,46451,20.93726618,11526,5.195214957
Empresarios,Baja California Sur,39036,17.59503827,72624,32.73445177,59344,26.74864102,8560,3.858323793
Comisiones de Derechos Humanos,Baja California Sur,23304,10.50401608,62154,28.01521694,75600,34.07585032,22676,10.22095214
Hospitales públicos,Baja California Sur,25167,11.34374239,59539,26.83653508,84701,38.17802378,24701,11.13369813
Instituciones religiosas,Baja California Sur,24604,11.08997647,45220,20.38240676,77160,34.77900279,49584,22.34943072
Universidades públicas,Baja California Sur,11409,5.142478522,45807,20.64699042,84152,37.9305682,21336,9.616962201
Ejército y Marina,Baja California Sur,13761,6.202616088,42833,19.30649334,88457,39.87099857,43880,19.77841683
Guardia Nacional,Baja California Sur,12751,5.747369939,40139,18.09220312,73519,33.13786296,26085,11.75752058
ONG's,Baja California Sur,11524,5.19431348,39438,17.77623525,94407,42.55289419,27988,12.61527644
Escuelas públicas de nivel básico,Baja California Sur,9168,4.132372959,37645,16.96806065,99150,44.69074814,42823,19.30198595
Organismos Autónomos Públicos/Descentralizados,Baja California Sur,9478,4.272101975,34100,15.37019174,94637,42.65656411,38849,17.51075012
Compañeros de trabajo,Baja California Sur,9185,4.140035518,26147,11.78546638,50078,22.57209566,43997,19.83115326
Familiares,Baja California Sur,8724,3.932244949,25844,11.64889253,62197,28.03459871,89884,40.51420278
Vecinos,Baja California Sur,6030,2.717954728,15735,7.092374402,74925,33.77160166,85382,38.48497688
,,,,,,,,,
Campeche,339505,,,,,,,,
Policías,Campeche,172262,50.73916437,114011,33.58153783,37116,10.93238686,6255,1.842388183
Partidos políticos,Campeche,147627,43.48301203,137654,40.54550007,34799,10.24992268,4872,1.435030412
Gobiernos Estatales,Campeche,117208,34.5232029,136302,40.14727324,53177,15.66309775,8336,2.455339391
Ministerio Público,Campeche,105150,30.97156154,139554,41.10513836,58640,17.27220512,11143,3.282131338
Cámaras de Diputados y Senadores,Campeche,93112,27.42581111,136583,40.23004079,57791,17.02213517,5632,1.658885731
Medios de comunicación,Campeche,80532,23.72041649,134933,39.74403912,68559,20.19381158,20853,6.142177582
Gobiernos Municipales,Campeche,72264,21.28510626,141386,41.6447475,80940,23.84059145,18030,5.310672891
Empresarios,Campeche,73977,21.78966436,138003,40.64829679,68951,20.3092738,12199,3.593172413
Sindicatos,Campeche,85986,25.32687295,120178,35.39800592,56046,16.50815157,15696,4.623201426
Institutos electorales,Campeche,91989,27.09503542,113369,33.39243899,79783,23.49980118,21784,6.416400348
Jueces y Magistrados,Campeche,76942,22.66299465,128069,37.72227213,73980,21.790548,11800,3.47564837
Hospitales públicos,Campeche,83021,24.45354266,114477,33.71879648,87567,25.79255092,25028,7.371909103
Universidades públicas,Campeche,62818,18.50282028,122426,36.06014639,87342,25.72627796,13410,3.94986819
Gobierno Federal,Campeche,80679,23.76371482,103972,30.62458579,84417,24.86472953,36085,10.62870944
Comisiones de Derechos Humanos,Campeche,50291,14.81303663,104439,30.762139,101175,29.80073931,24318,7.162781108
Instituciones religiosas,Campeche,37454,11.03194356,84798,24.97695174,102621,30.22665351,67269,19.81384663
Escuelas públicas de nivel básico,Campeche,29821,8.783670344,92005,27.09974816,140279,41.31868456,45512,13.40539904
ONG's,Campeche,33258,9.796026568,87597,25.80138731,118611,34.9364516,28217,8.311217802
Guardia Nacional,Campeche,33023,9.726808147,72768,21.43355768,105426,31.05285636,42754,12.59303987
Ejército y Marina,Campeche,29275,8.62284797,74434,21.9242721,117448,34.59389405,53440,15.74056347
Organismos Autónomos Públicos/Descentralizados,Campeche,25091,7.390465531,77205,22.74046038,129694,38.20091015,36223,10.66935686
Compañeros de trabajo,Campeche,22549,6.641728399,53098,15.63982857,93453,27.52625145,65774,19.37349965
Familiares,Campeche,13257,3.90480258,47759,14.06724496,111344,32.79598239,129386,38.11018984
Vecinos,Campeche,13149,3.872991561,43817,12.90614277,112194,33.04634689,110309,32.49112679
,,,,,,,,,
Coahuila de Zaragoza,1596607,,,,,,,,
Policías,Coahuila de Zaragoza,926964,58.05837003,461186,28.88538006,156771,9.819009938,26262,1.644863138
Partidos políticos,Coahuila de Zaragoza,788159,49.36462135,541491,33.91510873,187585,11.74897768,40804,2.555669617
Gobiernos Estatales,Coahuila de Zaragoza,569204,35.65085209,601640,37.68241026,294048,18.41705567,80318,5.030542895
Ministerio Público,Coahuila de Zaragoza,639583,40.05888738,524344,32.84114375,280285,17.55504016,67216,4.209927678
Cámaras de Diputados y Senadores,Coahuila de Zaragoza,558260,34.9653985,593205,37.15410242,240303,15.05085472,68285,4.276882163
Sindicatos,Coahuila de Zaragoza,487033,30.50425058,587435,36.79271104,286178,17.92413537,88898,5.567932497
Gobiernos Municipales,Coahuila de Zaragoza,405547,25.40055255,666699,41.75723894,346709,21.71536264,100245,6.278627114
Empresarios,Coahuila de Zaragoza,399929,25.04868136,659300,41.2938187,340528,21.32822918,94728,5.933081842
Gobierno Federal,Coahuila de Zaragoza,461162,28.88387687,589472,36.9202941,325402,20.38084513,134646,8.433258779
Institutos electorales,Coahuila de Zaragoza,473802,29.67555573,529912,33.1898833,387176,24.249925,138250,8.658987465
Jueces y Magistrados,Coahuila de Zaragoza,392421,24.57843414,589787,36.94002344,361548,22.64477107,95865,6.004295359
Medios de comunicación,Coahuila de Zaragoza,384083,24.05620168,586109,36.70965992,423720,26.5387788,135203,8.468145261
Hospitales públicos,Coahuila de Zaragoza,323826,20.2821358,564408,35.35046508,494667,30.98238953,151249,9.473151502
Universidades públicas,Coahuila de Zaragoza,242456,15.18570318,476695,29.85675248,580170,36.3376836,130552,8.176840011
Comisiones de Derechos Humanos,Coahuila de Zaragoza,222460,13.9332973,495946,31.06249691,494392,30.9651655,227282,14.23531276
ONG's,Coahuila de Zaragoza,121198,7.590972606,419778,26.29188022,660202,41.35031351,259509,16.25378067
