"Entidad federativa  
   Diversas instituciones y    
   sectores",,Percepción sobre la frecuencia de corrupción en diversas instituciones y sectores 2,,,,,,,
,,Muy frecuente,,Frecuente,,Poco frecuente,, Nunca,
grupo,entidad,MuyFrecuente_tot,Muy_frecuente,Frecuente_tot,Frecuente,Pocofrecuente_tot,Poco_frecuente,Nunca_tot,Nunca
Instituciones religiosas,Guerrero,68220,9.173041316,167440,22.51442448,325530,43.77162327,159291,21.41868842
Compañeros del trabajo,Guerrero,44245,5.949299517,160624,21.59792712,242739,32.63932683,179109,24.08346903
Vecinos,Guerrero,38619,5.192812703,124805,16.78160981,327595,44.04928863,216992,29.17731723
Familiares,Guerrero,32684,4.394776933,117175,15.75565987,325192,43.7261749,251973,33.88095485
,,,,,,,,,
Hidalgo,386350,,,,,,,,
Partidos políticos,Hidalgo,233427,58.52677027,118990,29.83416826,29784,7.46769365,9961,2.497505253
Policías,Hidalgo,197620,49.54893967,140470,35.21981356,43830,10.98942428,9333,2.340047839
Diputados y Senadores,Hidalgo,211928,53.13636113,117557,29.47487451,33966,8.516239676,14551,3.648348452
Gobierno Federal,Hidalgo,186180,46.68060716,126790,31.78984951,52813,13.24171719,13119,3.289305432
Gobiernos Estatales,Hidalgo,146323,36.68732668,152217,38.16511967,63998,16.04611396,16178,4.056283504
Ministerio Público,Hidalgo,148819,37.31314469,145822,36.56171177,66995,16.79754687,15119,3.790762164
Gobiernos Municipales,Hidalgo,115500,28.95912626,175131,43.91030945,63167,15.83775869,24576,6.16190032
Institutos electorales,Hidalgo,158234,39.67375225,128045,32.10451361,65917,16.5272617,26384,6.615217206
Medios de comunicación,Hidalgo,125984,31.58776245,140588,35.24939951,83830,21.01855891,33258,8.338723993
Jueces y magistrados,Hidalgo,115258,28.89845,139380,34.94651964,83546,20.94735206,24438,6.127299806
Empresarios,Hidalgo,94300,23.6436849,158196,39.66422457,91678,22.98627513,20712,5.193085915
Sindicatos,Hidalgo,97450,24.43347926,133767,33.53918132,78655,19.72103962,33470,8.391878407
Hospitales públicos,Hidalgo,56945,14.2777268,126750,31.77982038,139601,35.00193061,51057,12.80143818
Universidades públicas,Hidalgo,54105,13.56565824,122998,30.83908755,143016,35.85816798,26667,6.686173334
Comisiones de derechos humanos,Hidalgo,61844,15.50604506,110823,27.78646969,125340,31.42629338,56498,14.16565122
Escuelas públicas,Hidalgo,42980,10.77630517,107673,26.99667534,159602,40.01674865,64037,16.05589237
Instituciones religiosas,Hidalgo,51306,12.86386954,98285,24.64283744,144702,36.280896,75008,18.80663327
Ejército y Marina,Hidalgo,45688,11.45527758,95324,23.90043075,145939,36.59104699,59822,14.99907231
Compañeros del trabajo,Hidalgo,23839,5.977113515,71959,18.04216248,111915,28.06026507,81605,20.4606883
Vecinos,Hidalgo,16175,4.055531318,50682,12.70741504,149708,37.5360422,142236,35.66259985
Familiares,Hidalgo,7415,1.859150833,53861,13.50448052,156558,39.25353151,166979,41.86637181
,,,,,,,,,
Jalisco,3071246,,,,,,,,
Policías,Jalisco,2010035,63.61135972,860513,27.23256161,228850,7.242391138,19839,0.627842682
Partidos políticos,Jalisco,1939869,61.39082392,926998,29.3366052,195808,6.196714546,31163,0.986212082
Gobierno Federal,Jalisco,1919402,60.74310699,791406,25.04553988,310816,9.836360253,54771,1.733331899
Diputados y Senadores,Jalisco,1697810,53.73040899,974179,30.82973719,307980,9.746609669,42715,1.351796974
Gobiernos Estatales,Jalisco,1487115,47.06256717,1116360,35.32932388,385247,12.19187004,85433,2.703688888
Ministerio Público,Jalisco,1357212,42.95154101,1151575,36.44376917,448111,14.18132023,81043,2.564759034
Gobiernos Municipales,Jalisco,1253342,39.66437839,1193669,37.77591342,529952,16.77133349,83806,2.652199396
Empresarios,Jalisco,1020880,32.30767868,1345361,42.5764937,573219,18.14059954,85458,2.704480061
Jueces y magistrados,Jalisco,1097733,34.73983723,1260269,39.8835964,552211,17.47576165,80399,2.544378436
Medios de comunicación,Jalisco,1122809,35.53341469,1119667,35.43398015,661244,20.92631718,106512,3.370773716
Institutos electorales,Jalisco,1110678,35.14950625,1089510,34.47960484,672737,21.2900349,125937,3.985514585
Sindicatos,Jalisco,1011271,32.00358369,1160852,36.73735738,585721,18.53624898,89900,2.845055553
Universidades públicas,Jalisco,625183,19.78509862,1110016,35.128556,1021752,32.33527476,112815,3.570244073
Hospitales públicos,Jalisco,523203,16.55774861,921628,29.16666139,1257337,39.79080772,300819,9.519986278
Comisiones de derechos humanos,Jalisco,502274,15.89541082,892142,28.23352115,1230759,38.94969663,265669,8.407598039
Instituciones religiosas,Jalisco,526005,16.64642321,839827,26.57791401,1179471,37.32659086,476991,15.09528246
Escuelas públicas,Jalisco,383468,12.13557022,869367,27.51276319,1367263,43.26962392,356783,11.29107292
Ejército y Marina,Jalisco,437486,13.84507201,706739,22.36609251,1358618,42.99603654,417827,13.22292577
Compañeros del trabajo,Jalisco,184913,5.851921663,530770,16.79722064,963140,30.48038716,589150,18.64476617
Vecinos,Jalisco,216912,6.864590546,464274,14.69282894,1391094,44.02380099,818562,25.90494286
Familiares,Jalisco,138492,4.382841309,479017,15.15939906,1381726,43.72733291,1091617,34.54628484
,,,,,,,,,
Estado de México,8347648,,,,,,,,
Partidos políticos,Estado de México,6589821,72.93995749,2061668,22.81973612,256485,2.838924608,31536,0.349058722
Policías,Estado de México,6227172,68.92594821,2315036,25.62415996,383979,4.25010208,21820,0.241516404
Diputados y Senadores,Estado de México,6029599,66.73909576,2265749,25.07862289,373261,4.131469045,59265,0.655979363
Gobiernos Estatales,Estado de México,5480032,60.65616974,2651687,29.35040831,597297,6.611229317,30975,0.342849249
Ministerio Público,Estado de México,5567194,61.62092927,2529829,28.00161336,576633,6.382508191,100691,1.114506336
Gobierno Federal,Estado de México,5822535,64.44719142,2234323,24.73078171,549768,6.085150803,81466,0.901712896
Gobiernos Municipales,Estado de México,5257871,58.19716306,2702076,29.90814297,722827,8.000668099,100251,1.109636161
Institutos electorales,Estado de México,4861653,53.81159263,2586215,28.62572628,1063558,11.77207625,232359,2.571884059
Medios de comunicación,Estado de México,3960461,43.83667735,3002261,33.2307645,1385335,15.33369055,301735,3.339777829
Jueces y magistrados,Estado de México,3943232,43.6459768,2750958,30.44919727,1381517,15.29143072,256480,2.838869265
Empresarios,Estado de México,3237254,35.83180319,3220308,35.64423505,1447117,16.01752953,261788,2.897621285
Sindicatos,Estado de México,3150979,34.8768615,3300979,36.53714842,1149075,12.71862797,243794,2.698453266
Comisiones de derechos humanos,Estado de México,1932146,21.38611157,2448410,27.10042068,3068828,33.96756663,758759,8.398384297
Instituciones religiosas,Estado de México,1678221,18.57552252,2602650,28.80763838,2911393,32.22498482,1113494,12.32479684
Universidades públicas,Estado de México,1177049,13.02826041,2876864,31.84279784,2999179,33.19665113,487295,5.393663437
Hospitales públicos,Estado de México,1413763,15.64834813,2493858,27.60346548,3447415,38.15798693,1150925,12.73910484
Ejército y Marina,Estado de México,1339757,14.82920684,2053997,22.73482905,3710706,41.07224429,1170236,12.95285018
Escuelas públicas,Estado de México,1061515,11.74946315,2257924,24.99201125,4039009,44.70609214,1214666,13.44462716
Vecinos,Estado de México,812584,8.994150588,1816140,20.10208994,3608804,39.9443339,1997262,22.10685319
Compañeros del trabajo,Estado de México,638871,7.071394441,1953962,21.6275837,2805932,31.05768136,1291482,14.29487116
Familiares,Estado de México,342095,3.786505697,1125360,12.4561366,3806972,42.13777216,3469697,38.40461701
,,,,,,,,,
Michoacán de Ocampo,822059,,,,,,,,
Partidos políticos,Michoacán de Ocampo,527076,63.94698625,210347,25.52014646,48668,5.90459806,5115,0.620572431
Policías,Michoacán de Ocampo,517438,62.77766522,200782,24.35968208,73447,8.910886284,8786,1.065952958
Gobierno Federal,Michoacán de Ocampo,450622,54.6712786,237033,28.75779962,77866,9.447017188,6442,0.781569423
Diputados y Senadores,Michoacán de Ocampo,471471,57.20076337,213165,25.86203759,66986,8.127011704,10374,1.258615523
Gobiernos Estatales,Michoacán de Ocampo,413073,50.11568247,265122,32.16567039,85823,10.41239252,13053,1.583642609
Ministerio Público,Michoacán de Ocampo,378113,45.87419426,279717,33.93639466,84279,10.22506821,15227,1.847401057
Gobiernos Municipales,Michoacán de Ocampo,300938,36.51101198,322598,39.13889054,122638,14.87893681,24479,2.969891015
Institutos electorales,Michoacán de Ocampo,286737,34.78808938,275426,33.41579323,128228,15.55713816,41704,5.059697491
Sindicatos,Michoacán de Ocampo,280561,34.03879215,266665,32.35287338,128283,15.56381098,32606,3.955891434
Empresarios,Michoacán de Ocampo,228149,27.67995691,309615,37.56374061,177847,21.57711538,22357,2.712441416
Jueces y magistrados,Michoacán de Ocampo,261841,31.76760624,273442,33.17508635,141449,17.16116321,33400,4.052222717
Medios de comunicación,Michoacán de Ocampo,226497,27.4795296,306501,37.18593757,189163,22.95001814,30369,3.684489572
Universidades públicas,Michoacán de Ocampo,211488,25.65857718,283321,34.37364648,172924,20.97983716,18337,2.224718801
Hospitales públicos,Michoacán de Ocampo,153670,18.64386422,257389,31.22747164,257064,31.18804133,67176,8.15006327
Escuelas públicas,Michoacán de Ocampo,155108,18.81832818,250129,30.34665916,244456,29.65838792,91086,11.05092091
Comisiones de derechos humanos,Michoacán de Ocampo,124947,15.15907401,210630,25.55448116,233406,28.31775735,93105,11.29587413
Instituciones religiosas,Michoacán de Ocampo,113654,13.7889617,202149,24.52553204,249392,30.25724335,161654,19.6125153
Ejército y Marina,Michoacán de Ocampo,92987,11.2815579,176297,21.38906312,294500,35.72992785,132306,16.05189757
Familiares,Michoacán de Ocampo,37066,4.496996624,137924,16.73349599,246781,29.9404663,317852,38.56308668
Compañeros del trabajo,Michoacán de Ocampo,44717,5.425246803,127541,15.47378855,166231,20.1678154,253930,30.80781181
Vecinos,Michoacán de Ocampo,39520,4.794725802,103811,12.59476924,215055,26.09134001,317941,38.57388452
,,,,,,,,,
Morelos,726528,,,,,,,,
Partidos políticos,Morelos,517921,69.02005885,162138,21.60710669,45020,5.999530912,7793,1.038523865
Policías,Morelos,472445,62.9597597,203901,27.17259779,59634,7.947046344,3975,0.529723131
Gobiernos Estatales,Morelos,479636,63.91805883,183265,24.42256847,59143,7.881613876,7875,1.049451487
Diputados y Senadores,Morelos,462684,61.65897291,186585,24.86500389,45334,6.041375708,11848,1.578908091
Gobierno Federal,Morelos,482721,64.32917728,157028,20.92612928,66389,8.847242508,10641,1.418058828
Gobiernos Municipales,Morelos,348484,46.44026056,268542,35.78689538,90090,12.00572501,15150,2.018944765
Ministerio Público,Morelos,364058,48.51570912,220845,29.4306176,90021,11.99652981,24010,3.199660977
Jueces y magistrados,Morelos,287160,38.26799859,253234,33.74689496,100182,13.35062207,26026,3.468320558
Institutos electorales,Morelos,308197,41.07146665,229781,30.62146185,124136,16.54282029,38408,5.118391454
Medios de comunicación,Morelos,258048,34.38842632,249726,33.27940596,160124,21.33871363,42475,5.660374844
Empresarios,Morelos,227386,30.30229533,279025,37.18389855,147400,19.64306656,20200,2.691926353
Sindicatos,Morelos,220113,29.33306858,219812,29.29295621,134468,17.91970064,43021,5.733136814
Universidades públicas,Morelos,152195,20.28206591,267011,35.58286869,213275,28.42181153,27580,3.675412318
Hospitales públicos,Morelos,125088,16.66968731,218678,29.1418352,281597,37.52665274,78607,10.47545816
Comisiones de derechos humanos,Morelos,136628,18.20755019,196162,26.14127016,236329,31.49407243,64947,8.65507628
Escuelas públicas,Morelos,100534,13.39753089,219517,29.25364343,305169,40.66794422,77299,10.30114927
Ejército y Marina,Morelos,110337,14.70391475,179682,23.9450847,248001,33.04952611,111450,14.85223723
Instituciones religiosas,Morelos,92302,12.30050427,165596,22.06793249,285513,38.04851331,143140,19.07536328
Compañeros del trabajo,Morelos,63667,8.484498769,157037,20.92732865,244289,32.55485133,136043,18.12959093
Vecinos,Morelos,36908,4.918495933,104547,13.93231804,290004,38.6470005,246818,32.89187518
Familiares,Morelos,35265,4.699543705,95161,12.68150513,291022,38.78266293,297079,39.58984104
,,,,,,,,,
Nayarit,287045,,,,,,,,
Partidos políticos,Nayarit,184475,62.16135163,88770,29.91225469,14915,5.025811408,3951,1.331343002
Gobierno Federal,Nayarit,182439,61.47529383,87603,29.51901822,18060,6.085561786,3342,1.126132198
Policías,Nayarit,159528,53.75512185,105766,35.63928725,21287,7.172943174,5751,1.937877399
Diputados y Senadores,Nayarit,140279,47.26891039,112069,37.76316854,25580,8.619527712,5479,1.846223312
Gobiernos Estatales,Nayarit,151300,50.98258572,100042,33.71050787,30392,10.24099633,7427,2.502628316
Gobiernos Municipales,Nayarit,119676,40.32645029,128286,43.22770649,32098,10.81585616,7702,2.595293293
Ministerio Público,Nayarit,90623,30.53664816,133360,44.93745956,48918,16.48358314,12992,4.377830494
Institutos electorales,Nayarit,94792,31.94144921,127716,43.03563727,46061,15.52087826,16942,5.708836532
Sindicatos,Nayarit,91998,30.99997304,129819,43.74427162,40131,13.52268439,15248,5.138020272
Jueces y magistrados,Nayarit,88828,29.93179858,129636,43.68260729,47726,16.08192258,12180,4.104216088
Medios de comunicación,Nayarit,79026,26.62888182,138228,46.57779815,48039,16.18739217,19174,6.460939185
Empresarios,Nayarit,82203,27.69941503,131892,44.44279707,55755,18.78740295,9598,3.234176192
Universidades públicas,Nayarit,78032,26.29394005,124533,41.96308227,57790,19.47312379,11751,3.959658723
Hospitales públicos,Nayarit,58576,19.73797714,105422,35.52337179,95072,32.03579901,29570,9.964012292
Comisiones de derechos humanos,Nayarit,44823,15.10371738,96757,32.6035826,100816,33.97131766,32899,11.08576396
Escuelas públicas,Nayarit,28048,9.451153763,111123,37.44440101,109385,36.85875836,39504,13.31140824
Instituciones religiosas,Nayarit,32020,10.789573,82608,27.83588527,109394,36.86179103,58448,19.69484581
Ejército y Marina,Nayarit,30819,10.38487977,81987,27.6266309,117022,39.43214902,51917,17.49413683
Compañeros del trabajo,Nayarit,17604,5.931906405,55203,18.60139907,109831,37.0090441,84576,28.49902954
Vecinos,Nayarit,7629,2.570694954,41742,14.06553267,115221,38.82527766,111937,37.71868935
Familiares,Nayarit,6285,2.117815937,37831,12.74766821,117070,39.44832327,130664,44.02900582
,,,,,,,,,
Nuevo León,2890921,,,,,,,,
Policías,Nuevo León,1726086,56.54216981,933993,30.59522573,316262,10.35993555,14052,0.460307638
Partidos políticos,Nuevo León,1592216,52.15693044,1018508,33.36372132,317477,10.39973584,56784,1.860098842
Gobierno Federal,Nuevo León,1520715,49.81474026,983827,32.22766032,339191,11.11103104,47826,1.566657637
Gobiernos Estatales,Nuevo León,1304357,42.72740465,1178055,38.59007364,378637,12.40318127,74366,2.436040267
Diputados y Senadores,Nuevo León,1429754,46.83509017,1033266,33.84715572,369451,12.10227137,66241,2.169886014
Gobiernos Municipales,Nuevo León,1002289,32.8324283,1256611,41.16336761,572814,18.76392396,91046,2.982434474
Ministerio Público,Nuevo León,828208,27.12997925,1236258,40.4966553,628276,20.58071746,175095,5.735665096
Institutos electorales,Nuevo León,854891,28.0040462,1126627,36.90542368,704502,23.07768658,199497,6.535012305
Sindicatos,Nuevo León,797273,26.11662765,1170028,38.32712962,585010,19.16343378,186215,6.099927901
Empresarios,Nuevo León,720537,23.60295223,1224094,40.09819372,785542,25.73235004,107856,3.53308715
Jueces y magistrados,Nuevo León,745493,24.42044707,1178506,38.60484725,735604,24.09650868,166110,5.441339439
Medios de comunicación,Nuevo León,761068,24.9306443,1098957,35.99902514,857669,28.09504639,200519,6.568490416
Universidades públicas,Nuevo León,453237,14.84688678,984414,32.24688894,1053263,34.50220638,155258,5.085855629
Hospitales públicos,Nuevo León,442404,14.49202536,919744,30.12846488,1191507,39.03072681,321194,10.52149527
Comisiones de derechos humanos,Nuevo León,266466,8.72874574,911069,29.84429403,1178175,38.59400454,386879,12.67316815
Escuelas públicas,Nuevo León,294440,9.645102549,811572,26.58502637,1359039,44.51864734,378804,12.40865177
Instituciones religiosas,Nuevo León,275330,9.019107746,678693,22.23224964,1211791,39.69517886,666333,21.8273676
Ejército y Marina,Nuevo León,193180,6.328083516,686441,22.48605434,1358083,44.48733122,568464,18.62142907
Familiares,Nuevo León,113465,3.716823668,519531,17.01850894,1242559,40.70305997,1061814,34.7823153
Compañeros del trabajo,Nuevo León,167597,5.490049762,464305,15.2094462,1015071,33.25113398,595749,19.515216
Vecinos,Nuevo León,98636,3.231063493,514768,16.86248522,1176366,38.53474631,957793,31.37485296
,,,,,,,,,
Oaxaca,456862,,,,,,,,
Partidos políticos,Oaxaca,319496,67.54515223,134074,28.34479536,12792,2.704376854,419,0.088581449
Gobierno Federal,Oaxaca,274144,57.95721453,157137,33.22058049,27169,5.743841052,5096,1.077353381
Gobiernos Estatales,Oaxaca,250242,52.90405509,178662,37.77121462,33638,7.111462524,3149,0.665735046
Policías,Oaxaca,230551,48.74114978,198038,41.86752528,37254,7.875926775,1728,0.3653192
Diputados y Senadores,Oaxaca,269433,56.9612546,155563,32.88781868,35004,7.400250734,1581,0.334241698
Gobiernos Municipales,Oaxaca,184831,39.07541262,216502,45.77102858,57959,12.25320341,4804,1.015621201
Sindicatos,Oaxaca,203805,43.08673583,195577,41.3472414,46764,9.886450844,2764,0.58434159
Ministerio Público,Oaxaca,192699,40.73879889,200944,42.48188731,62099,13.12844733,3057,0.646285182
Institutos electorales,Oaxaca,202298,42.76813858,179282,37.9022898,70048,14.80895793,9187,1.94223813
Universidades públicas,Oaxaca,158562,33.52184199,206562,43.66959754,78048,16.50025052,2665,0.563411845
Jueces y magistrados,Oaxaca,150171,31.74788747,206381,43.63133204,87313,18.45897876,8606,1.819408005
Medios de comunicación,Oaxaca,159217,33.66031657,195666,41.36605703,93094,19.68114906,11692,2.471824122
Empresarios,Oaxaca,137396,29.04710461,213534,45.14355903,90647,19.16382494,6302,1.332315739
Comisiones de derechos humanos,Oaxaca,76789,16.23408335,176498,37.31371998,168200,35.55942674,21950,4.640484048
Hospitales públicos,Oaxaca,62286,13.16798129,188630,39.87856519,183471,38.78789288,17773,3.757417904
Ejército y Marina,Oaxaca,47807,10.10695312,150588,31.8360461,197410,41.73475881,53161,11.23885068
Escuelas públicas,Oaxaca,46509,9.832540892,143899,30.42191408,237400,50.18910765,31933,6.751005791
Instituciones religiosas,Oaxaca,54138,11.44539979,131577,27.81690066,198136,41.88824361,69649,14.72460471
Compañeros del trabajo,Oaxaca,20882,4.414696487,92970,19.65493403,190809,40.33923101,60599,12.81132997
Vecinos,Oaxaca,13364,2.825304274,87132,18.42071326,260346,55.04015763,94376,19.9521787
Familiares,Oaxaca,10497,2.219187292,70742,14.95567756,245041,51.80450349,138444,29.26866394
,,,,,,,,,
Puebla,1639325,,,,,,,,
Gobierno Federal,Puebla,1212793,71.64424128,383374,22.64734325,50640,2.991495151,14225,0.84032422
Partidos políticos,Puebla,1254659,74.11742327,339178,20.0365194,70370,4.157020414,10769,0.63616531
Policías,Puebla,1172595,69.26959432,402140,23.75592141,94825,5.601669188,14933,0.882148442
Diputados y Senadores,Puebla,1276238,75.39217592,294502,17.39734014,63237,3.735647292,14209,0.83937904
Ministerio Público,Puebla,1021449,60.34083196,487634,28.80637335,137613,8.129317184,11853,0.700201264
Gobiernos Estatales,Puebla,1013553,59.87438556,447479,26.43426656,194310,11.47862209,11510,0.679938965
Gobiernos Municipales,Puebla,932008,55.05721589,505472,29.86013106,201554,11.9065524,18033,1.065277094
Jueces y magistrados,Puebla,956215,56.48721437,472195,27.89433359,170838,10.09204282,35319,2.086426091
Institutos electorales,Puebla,884892,52.27389666,502659,29.69395658,240901,14.23092759,33694,1.990431233
Medios de comunicación,Puebla,788955,46.60653746,568106,33.56015688,269526,15.92191394,31037,1.833472255
Empresarios,Puebla,692529,40.91029118,603012,35.6221855,287181,16.96486116,25699,1.51813653
Sindicatos,Puebla,701225,41.42399659,520816,30.76655882,241982,14.29478633,40016,2.363895536
Comisiones de derechos humanos,Puebla,475236,28.07397689,525689,31.05442524,461333,27.25267442,142115,8.395267247
Ejército y Marina,Puebla,521145,30.78599408,449982,26.58212818,500828,29.58579252,153044,9.040884358
Universidades públicas,Puebla,331605,19.58915382,581029,34.32356706,570983,33.73011208,84565,4.995572422
Hospitales públicos,Puebla,302247,17.85486641,584355,34.52004638,650337,38.41785114,118293,6.988012162
Escuelas públicas,Puebla,336946,19.90466677,534338,31.56535419,610883,36.08715506,160462,9.479093501
Instituciones religiosas,Puebla,403710,23.84866721,427407,25.24853807,601547,35.53564245,217107,12.82532657
Vecinos,Puebla,162574,9.60385728,367976,21.73772551,627994,37.09796615,339428,20.05128784
Compañeros del trabajo,Puebla,108809,6.427756633,309936,18.30908454,477062,28.18184557,274612,16.22236308
Familiares,Puebla,87749,5.18366327,280571,16.57438361,701417,41.43533875,589427,34.81966849
,,,,,,,,,
Querétaro,735219,,,,,,,,
Partidos políticos,Querétaro,503897,65.43827935,187009,24.28581076,43168,5.605986229,17795,2.31093692
Gobierno Federal,Querétaro,460501,59.80268404,195268,25.3583608,71222,9.249201983,15459,2.007573692
Diputados y Senadores,Querétaro,448802,58.28340047,196687,25.54263838,69398,9.012329326,15237,1.978743796
Policías,Querétaro,358855,46.60248768,270766,35.16286294,99744,12.95319427,22431,2.912988258
Gobiernos Estatales,Querétaro,292282,37.95702527,289729,37.62548147,115221,14.96310553,27860,3.618022061
Ministerio Público,Querétaro,310732,40.35302337,265026,34.41744131,121369,15.76151183,30211,3.923333255
Institutos electorales,Querétaro,338940,44.01623824,231661,30.08451575,120056,15.59099988,36396,4.726544542
Medios de comunicación,Querétaro,303391,39.39968884,259893,33.75084737,128575,16.69731466,38109,4.949002252
Gobiernos Municipales,Querétaro,253074,32.86530205,290638,37.74352821,133036,17.27663973,49038,6.368290231
Jueces y magistrados,Querétaro,268891,34.9193672,259493,33.69890161,124673,16.19058379,44625,5.795198654
Sindicatos,Querétaro,282862,36.73370267,241964,31.42250862,106994,13.89471114,34108,4.429414805
Empresarios,Querétaro,215819,28.02720399,304328,39.52137178,146834,19.06850866,23008,2.987920014
Comisiones de derechos humanos,Querétaro,171841,22.3160276,200954,26.09676975,215116,27.93590932,76984,9.997480631
Universidades públicas,Querétaro,120343,15.62827096,246309,31.98676942,245126,31.83313984,43155,5.604297992
Instituciones religiosas,Querétaro,152885,19.85431812,199340,25.88716862,230195,29.89413454,128028,16.62627884
Hospitales públicos,Querétaro,160055,20.78544584,189734,24.63969123,255068,33.12425166,94500,12.27218538
Escuelas públicas,Querétaro,132395,17.19339666,196345,25.49822475,275801,35.81673017,97850,12.70723111
Ejército y Marina,Querétaro,139646,18.13504339,170934,22.1982406,261514,33.96135755,112060,14.55260417
Compañeros del trabajo,Querétaro,74258,9.643470288,144297,18.73904269,230297,29.90738071,108767,14.12496072
Vecinos,Querétaro,64502,8.376513245,117725,15.28828597,267143,34.69236423,236268,30.68280102
Familiares,Querétaro,40811,5.299895849,118423,15.37893132,273709,35.54505385,281874,36.60539664
,,,,,,,,,
Quintana Roo,784335,,,,,,,,
Policías,Quintana Roo,567087,65.69232213,247035,28.61695436,35523,4.115044709,6632,0.768262154
Gobierno Federal,Quintana Roo,535832,62.07168979,247691,28.69294651,42050,4.871143485,17531,2.030820843
Partidos políticos,Quintana Roo,534400,61.90580448,239039,27.69068413,69052,7.999101068,10761,1.246572534
Diputados y Senadores,Quintana Roo,527564,61.11391062,227373,26.33927485,61314,7.102717994,10219,1.183786332
Gobiernos Estatales,Quintana Roo,448634,51.97052524,281804,32.64465443,83583,9.682396811,21289,2.466153951
Gobiernos Municipales,Quintana Roo,442198,51.22496806,280480,32.49128002,84619,9.802408812,24217,2.805338449
Sindicatos,Quintana Roo,412650,47.80207751,300398,34.798615,81002,9.383409383,27140,3.143943738
Ministerio Público,Quintana Roo,374186,43.34634236,315610,36.56079894,107027,12.39818963,42319,4.902304902
Institutos electorales,Quintana Roo,360240,41.73081401,310847,36.00904492,132713,15.37369953,34151,3.956109897
Jueces y magistrados,Quintana Roo,326791,37.85602498,320387,37.11417474,125977,14.59338984,39736,4.603085791
Empresarios,Quintana Roo,325243,37.67670203,311893,36.13021534,159674,18.49690761,27767,3.216576484
Medios de comunicación,Quintana Roo,320727,37.15356092,308229,35.70577135,148093,17.15534488,47617,5.516034229
Hospitales públicos,Quintana Roo,180850,20.94997145,252948,29.30192633,306267,35.47848993,66483,7.701503741
Comisiones de derechos humanos,Quintana Roo,167898,19.44958975,256104,29.66752274,275197,31.87928831,99829,11.56436107
Ejército y Marina,Quintana Roo,127884,14.81429996,244092,28.27603224,292326,33.86354079,152297,17.64234338
Instituciones religiosas,Quintana Roo,152642,17.68230877,215466,24.95994773,316862,36.70583275,130635,15.13298048
Universidades públicas,Quintana Roo,96246,11.14930026,245594,28.45002647,305199,35.354771,79562,9.216597335
Escuelas públicas,Quintana Roo,123020,14.25084593,196222,22.73069006,365799,42.37477802,134567,15.58847004
Compañeros del trabajo,Quintana Roo,74100,8.58386997,149258,17.29030046,293132,33.9569092,233421,27.03988546
Vecinos,Quintana Roo,57138,6.618963055,141337,16.37271835,334219,38.71649713,246434,28.5473335
Familiares,Quintana Roo,36670,4.247915139,123754,14.33587374,314621,36.4462315,362751,42.02169252
,,,,,,,,,
San Luis Potosí,832491,,,,,,,,
Policías,San Luis Potosí,562357,65.94691009,220429,25.84943629,51592,6.050130051,6041,0.708420601
Partidos políticos,San Luis Potosí,542370,63.60305931,200504,23.51285617,65190,7.644750698,18732,2.19667848
Gobierno Federal,San Luis Potosí,502512,58.92896093,225531,26.44774152,72027,8.446517235,19308,2.264225287
Diputados y Senadores,San Luis Potosí,470156,55.13461281,239525,28.0888006,73137,8.576685563,8740,1.024928994
Gobiernos Estatales,San Luis Potosí,435554,51.07687906,272177,31.91786027,92388,10.83422653,22407,2.627641186
Gobiernos Municipales,San Luis Potosí,402869,47.24394952,276685,32.44650785,115268,13.51733584,25018,2.933829927
Ministerio Público,San Luis Potosí,413822,48.52839429,241995,28.37845444,110396,12.94600243,28996,3.400325069
Medios de comunicación,San Luis Potosí,269548,31.60956069,318703,37.37390676,167590,19.65307209,45346,5.317669354
Jueces y magistrados,San Luis Potosí,281707,33.03543158,300771,35.27104329,151224,17.7338515,35089,4.114843646
Empresarios,San Luis Potosí,273553,32.07922209,299488,35.12058747,157900,18.51673777,25002,2.931953627
Institutos electorales,San Luis Potosí,302010,35.41633929,269256,31.57531821,168970,19.81490298,53918,6.322897195
Sindicatos,San Luis Potosí,273343,32.05459565,226529,26.56477575,114820,13.46479944,62348,7.311472872
Hospitales públicos,San Luis Potosí,137543,16.12949755,293470,34.41486405,277422,32.53293493,83469,9.788306428
Universidades públicas,San Luis Potosí,109668,12.86063077,269503,31.60428359,248599,29.15289736,62160,7.289426345
Comisiones de derechos humanos,San Luis Potosí,133686,15.67719193,243574,28.56362182,244855,28.71384311,109444,12.83436256
Escuelas públicas,San Luis Potosí,105687,12.39378382,254567,29.85275734,304514,35.70998028,115111,13.49892465
Instituciones religiosas,San Luis Potosí,115933,13.59531957,241422,28.31125944,239369,28.07050667,191883,22.50188216
Ejército y Marina,San Luis Potosí,103664,12.15654911,177479,20.81274289,308956,36.23088812,170765,20.02540041
Compañeros del trabajo,San Luis Potosí,81170,9.51870554,167973,19.69798603,239022,28.02981441,153915,18.04942175
Familiares,San Luis Potosí,43302,5.077972001,143293,16.80379294,270721,31.74711695,361507,42.39347892
Vecinos,San Luis Potosí,33748,3.957586234,115814,13.58136459,278898,32.70602363,338645,39.71248045
,,,,,,,,,
Sinaloa,1006653,,,,,,,,
Policías,Sinaloa,619812,60.48374348,295698,28.85539805,82546,8.055170099,7119,0.694700602
Partidos políticos,Sinaloa,545316,53.2141247,321753,31.39794956,100421,9.799484366,10740,1.048052321
