"Entidad federativa  
   Diversas instituciones y    
   sectores",,Percepción sobre la frecuencia de corrupción en diversas instituciones y sectores 2,,,,,,,
,,Muy frecuente,,Frecuente,,Poco frecuente,, Nunca,
grupo,entidad,MuyFrecuente_tot,Muy_frecuente,Frecuente_tot,Frecuente,Pocofrecuente_tot,Poco_frecuente,Nunca_tot,Nunca
Instituciones religiosas,Baja California Sur,24416,12.08952268,46150,22.85105962,87895,43.52099426,31665,15.6788473
Ejército y Marina,Baja California Sur,25843,12.79609824,44667,22.11675579,97783,48.41701327,23200,11.48742325
Escuelas públicas,Baja California Sur,19068,9.441473559,43688,21.63200634,105020,52.00039612,25881,12.81491384
Compañeros del trabajo,Baja California Sur,13380,6.625074272,26966,13.35214894,72473,35.88482868,43816,21.69538522
Familiares,Baja California Sur,8882,4.397900574,29589,14.65092097,88405,43.77351951,64104,31.7409388
Vecinos,Baja California Sur,7365,3.646761735,21039,10.41740939,97442,48.24816795,53394,26.4379085
,,,,,,,,,
Campeche,314894,,,,,,,,
Policías,Campeche,177952,53.90149117,117023,35.44615515,30025,9.094543879,3893,1.179185989
Partidos políticos,Campeche,174326,52.80317923,114655,34.72889021,25412,7.697270577,7415,2.245996432
Gobierno Federal,Campeche,157539,47.71841293,112691,34.13399648,38992,11.81063963,5301,1.605667847
Diputados y Senadores,Campeche,154148,46.69128226,114934,34.81339904,35997,10.90345699,7077,2.143616554
Gobiernos Municipales,Campeche,110254,33.3958315,141051,42.72421345,55904,16.93326831,8930,2.704888488
Gobiernos Estatales,Campeche,118978,36.03832279,124568,37.73152846,63720,19.30072726,12220,3.701426352
Institutos electorales,Campeche,126261,38.24433655,116792,35.37618547,62527,18.9393687,12614,3.820768576
Ministerio Público,Campeche,99152,30.03304629,136556,41.36268223,67289,20.38177396,9295,2.81544664
Empresarios,Campeche,87173,26.4046186,145992,44.22083764,72469,21.95079102,8678,2.628557928
Sindicatos,Campeche,83842,25.39566188,132976,40.27830364,64795,19.62634374,12881,3.901642622
Medios de comunicación,Campeche,79994,24.23010635,134169,40.63966221,85330,25.84637566,17375,5.262870938
Jueces y magistrados,Campeche,74963,22.70622124,124792,37.79937785,83425,25.26935298,14875,4.505623321
Hospitales públicos,Campeche,48207,14.60185435,127409,38.59206465,122005,36.9551982,22258,6.741926983
Universidades públicas,Campeche,42042,12.73448172,133010,40.28860221,115745,35.05905017,14666,4.44231742
Comisiones de derechos humanos,Campeche,46966,14.22595663,95993,29.0761882,123669,37.45922222,31560,9.559493916
Escuelas públicas,Campeche,23379,7.081476815,93051,28.1850592,164337,49.77752065,34082,10.32340531
Instituciones religiosas,Campeche,25444,7.706963346,88575,26.82928307,139554,42.27077357,57708,17.47969819
Ejército y Marina,Campeche,28965,8.77347089,79588,24.10712933,138717,42.01724707,49085,14.86779971
Compañeros del trabajo,Campeche,23845,7.22262777,69041,20.91245309,127014,38.47241953,45241,13.70345578
Vecinos,Campeche,13605,4.120941531,59802,18.1139688,128834,39.02369579,99609,30.17147115
Familiares,Campeche,11395,3.451534638,55055,16.67610702,142092,43.03953135,110758,33.54849262
,,,,,,,,,
Coahuila de Zaragoza,1381659,,,,,,,,
Policías,Coahuila de Zaragoza,1001064,64.49622712,394131,25.3929444,109385,7.047421347,18661,1.202284863
Partidos políticos,Coahuila de Zaragoza,929731,59.9004077,413932,26.66867681,114511,7.377677614,33712,2.171985816
Gobiernos Estatales,Coahuila de Zaragoza,815602,52.54734146,429271,27.65693293,175061,11.2787734,42072,2.710601188
Gobierno Federal,Coahuila de Zaragoza,827234,53.29676418,397632,25.61850569,150828,9.717497526,46327,2.984740949
Diputados y Senadores,Coahuila de Zaragoza,782856,50.43759278,403247,25.98026709,144708,9.323200148,35648,2.296717796
Gobiernos Municipales,Coahuila de Zaragoza,599984,38.6555748,508853,32.78421625,255658,16.47145081,74153,4.777505463
Ministerio Público,Coahuila de Zaragoza,629466,40.55503154,477829,30.78541203,213665,13.76593941,78020,5.026647287
Institutos electorales,Coahuila de Zaragoza,708839,45.66884948,385497,24.83667584,255505,16.46159337,87423,5.632460725
Sindicatos,Coahuila de Zaragoza,482985,31.11760113,487749,31.42453457,235282,15.15867248,83430,5.375201014
Empresarios,Coahuila de Zaragoza,442606,28.51607599,512687,33.03123196,323952,20.87147452,69500,4.477723487
Jueces y magistrados,Coahuila de Zaragoza,451599,29.09547408,432234,27.84783214,282755,18.21724755,105795,6.81612599
Medios de comunicación,Coahuila de Zaragoza,411462,26.50954045,467723,30.13430593,385992,24.86856754,146422,9.433629185
Hospitales públicos,Coahuila de Zaragoza,349807,22.53725208,452679,29.16505597,457698,29.48841848,155206,9.999561892
Universidades públicas,Coahuila de Zaragoza,206411,13.29858104,429630,27.68006247,483166,31.12926254,89176,5.745402441
Comisiones de derechos humanos,Coahuila de Zaragoza,253508,16.3329313,365267,23.53330395,440215,28.36202942,194555,12.53472652
Escuelas públicas,Coahuila de Zaragoza,181292,11.68022225,338562,21.81276286,521720,33.61320716,287770,18.54035234
Ejército y Marina,Coahuila de Zaragoza,197369,12.716026,297226,19.14958045,480306,30.94499938,300851,19.38313077
Instituciones religiosas,Coahuila de Zaragoza,188833,12.16607135,262548,16.9153575,486174,31.32306098,416630,26.84250268
Compañeros del trabajo,Coahuila de Zaragoza,149418,9.626654503,280039,18.04226198,434583,27.99917275,333102,21.46098775
Familiares,Coahuila de Zaragoza,81911,5.277335374,225093,14.50221889,562375,36.23251433,595032,38.33652895
Vecinos,Coahuila de Zaragoza,78786,5.075998887,191579,12.34298975,474199,30.55153956,592773,38.19098683
,,,,,,,,,
Colima,302229,,,,,,,,
Partidos políticos,Colima,177658,56.30873483,83203,26.37120571,37953,12.02921013,7957,2.521972571
Gobierno Federal,Colima,171636,54.40006085,86546,27.43077016,37827,11.98927441,8475,2.686152764
Policías,Colima,140025,44.38094876,115165,36.50156732,47326,14.99998415,7150,2.266193777
Diputados y Senadores,Colima,152939,48.47404337,100055,31.71245012,38952,12.34584336,8089,2.563809995
Gobiernos Estatales,Colima,145609,46.15079856,101302,32.10768699,49274,15.6174031,10869,3.444931491
Gobiernos Municipales,Colima,117947,37.38332272,112828,35.76085475,61036,19.3453711,12463,3.950150076
Ministerio Público,Colima,112787,35.74785979,102976,32.63826159,67275,21.32282327,16332,5.176430317
Institutos electorales,Colima,114687,36.35006513,98051,31.07728196,69685,22.0866732,18649,5.910803881
Empresarios,Colima,90522,28.69096407,112060,35.51743701,81197,25.73540365,14487,4.591657237
Jueces y magistrados,Colima,90655,28.73311844,108157,34.28038047,72975,23.12943928,18242,5.781805158
Medios de comunicación,Colima,83121,26.3452158,110411,34.99478617,87754,27.81364597,18739,5.939329397
Sindicatos,Colima,90136,28.5686213,103012,32.6496718,67150,21.28320449,22574,7.154833332
Universidades públicas,Colima,45790,14.51314868,99011,31.38155413,112849,35.7675107,25103,7.956400333
Hospitales públicos,Colima,46042,14.59302012,93570,29.65702821,114244,36.2096562,44290,14.03772341
Comisiones de derechos humanos,Colima,48863,15.48713658,87111,27.60984701,118379,37.52024519,36416,11.5420577
Ejército y Marina,Colima,41079,13.01999639,73238,23.21279718,125419,39.75157445,53952,17.10009604
Escuelas públicas,Colima,34747,11.01306786,75008,23.773799,132664,42.04787849,51423,16.29852903
Instituciones religiosas,Colima,36959,11.71416165,69196,21.93168456,122120,38.70595581,66453,21.06229022
Compañeros del trabajo,Colima,22174,7.02805326,51814,16.42245655,89416,28.34041717,76850,24.35762123
Familiares,Colima,17421,5.521589061,50386,15.9698517,111115,35.2179191,125010,39.62194183
Vecinos,Colima,13113,4.156167692,39547,12.53442871,115020,36.45560954,116237,36.84133791
,,,,,,,,,
Chiapas,722647,,,,,,,,
Partidos políticos,Chiapas,467498,63.78080592,183821,25.07872018,50865,6.939517801,11703,1.596641636
Policías,Chiapas,419278,57.20214577,226680,30.92597848,59629,8.13519133,12680,1.729933859
Gobierno Federal,Chiapas,435822,59.4592456,196012,26.74193971,54646,7.455360066,11355,1.549163956
Diputados y Senadores,Chiapas,407456,55.58926895,214142,29.21541769,43360,5.915609788,11925,1.626929122
Gobiernos Estatales,Chiapas,398947,54.4283851,217600,29.68719303,80931,11.04142564,12693,1.73170745
Gobiernos Municipales,Chiapas,381192,52.00606841,226773,30.93866648,88249,12.03982122,14760,2.013708498
Institutos electorales,Chiapas,355911,48.55697867,226868,30.95162734,73805,10.06922464,31515,4.299595075
Ministerio Público,Chiapas,291301,39.74222894,236525,32.26913296,139476,19.02872673,27007,3.684568117
Medios de comunicación,Chiapas,263395,35.93501015,252280,34.41858942,143750,19.61182904,33305,4.543804981
Jueces y magistrados,Chiapas,272027,37.1126749,234789,32.03229028,126624,17.27532689,30456,4.155115584
Sindicatos,Chiapas,215563,29.40928489,274960,37.51282443,124724,17.01610967,28407,3.875570278
Empresarios,Chiapas,197137,26.89542359,283700,38.70522364,171688,23.42341359,17890,2.440734758
Universidades públicas,Chiapas,182799,24.9392886,289113,39.44371985,158942,21.68447534,27648,3.772019821
Hospitales públicos,Chiapas,150193,20.49084827,254777,34.75925542,240668,32.83436293,58545,7.987301085
Comisiones de derechos humanos,Chiapas,148847,20.30721333,185867,25.35785619,248106,33.84913012,57495,7.844049464
Escuelas públicas,Chiapas,67292,9.180655301,207743,28.34240139,332287,45.33395364,65064,8.876689005
Ejército y Marina,Chiapas,94958,12.95513086,178638,24.37160289,279867,38.18228701,93675,12.78009103
Compañeros del trabajo,Chiapas,54280,7.405426644,151208,20.62932483,250045,34.11366811,124960,17.04830718
Instituciones religiosas,Chiapas,56357,7.688791993,129090,17.61176355,314047,42.84546834,177070,24.15768047
Familiares,Chiapas,30089,4.105045731,100396,13.69703783,289814,39.53935736,284423,38.80386261
Vecinos,Chiapas,37838,5.162242693,91795,12.52360241,281194,38.36332977,260452,35.53349632
,,,,,,,,,
Chihuahua,1819279,,,,,,,,
Policías,Chihuahua,1066773,57.26269038,602001,32.31446322,131590,7.063543441,18260,0.980167971
Partidos políticos,Chihuahua,1038078,55.72238809,577102,30.97792421,141551,7.598234195,30855,1.656247685
Gobierno Federal,Chihuahua,1003269,53.85389593,551420,29.599355,185399,9.951925606,46847,2.514672996
Diputados y Senadores,Chihuahua,937337,50.31477026,608992,32.68972906,149878,8.045214408,43768,2.349397138
Gobiernos Estatales,Chihuahua,879495,47.20990302,614832,33.00321104,239975,12.88147912,44871,2.408604436
Ministerio Público,Chihuahua,695863,37.35282719,686436,36.84680071,268730,14.42500212,84447,4.532981632
Gobiernos Municipales,Chihuahua,661331,35.49920395,678466,36.4189837,332713,17.85950854,98313,5.27728662
Empresarios,Chihuahua,638297,34.2627752,671421,36.04081922,333190,17.88511315,64463,3.460272064
Jueces y magistrados,Chihuahua,589451,31.64079904,671232,36.030674,317787,17.05830443,89965,4.82917916
