entidad,escolaridad
01 Aguascalientes,10.349134
02 Baja California,10.202655
03 Baja California Sur,10.342548
04 Campeche,9.62513
05 Coahuila de Zaragoza,10.431996
06 Colima,10.04673
07 Chiapas,7.783218
08 Chihuahua,9.996942
09 Ciudad de México,11.482039
10 Durango,9.746069
11 Guanajuato,9.043787
12 Guerrero,8.372699
13 Hidalgo,9.370759
14 Jalisco,9.897353
15 México,10.082398
16 Michoacán de Ocampo,8.59549
17 Morelos,9.844782
18 Nayarit,9.729524
19 Nuevo León,10.740959
20 Oaxaca,8.118536
21 Puebla,9.160472
22 Querétaro,10.484599
23 Quintana Roo,10.239289
24 San Luis Potosí,9.613127
25 Sinaloa,10.223508
26 Sonora,10.403197
27 Tabasco,9.693396
28 Tamaulipas,10.092209
29 Tlaxcala,9.83317
30 Veracruz de Ignacio de la Llave,8.745629
31 Yucatán,9.594718
32 Zacatecas,9.245563
