"Entidad federativa  
   Diversos sectores",Población de 18 años y más1,Percepción sobre la frecuencia de corrupción en diversas instituciones y sectores 2,,,,,,,
,,Muy frecuente,,Frecuente,,Poco frecuente,, Nunca,
,,Absolutos,Muy frecuente,Absolutos,Frecuente,Absolutos,Poco frecuente,Absolutos, Nunca
grupo,entidad,MuyFrecuente_tot,Muy_frecuente,Frecuente_tot,Frecuente,Pocofrecuente_tot,Poco_frecuente,Nunca_tot,Nunca
Medios de comunicación,Guerrero,216789,30.35873579,276827,38.76634771,125036,17.50981318,41663,5.83441046
Sindicatos,Guerrero,173242,24.26049341,292616,40.97741044,120276,16.84323146,26360,3.691406277
Hospitales públicos,Guerrero,121450,17.00763628,257636,36.0788751,242737,33.99244634,50929,7.132004184
Escuelas públicas,Guerrero,89868,12.58495066,276715,38.75066343,240622,33.6962656,58011,8.123754535
Ejército y Marina,Guerrero,142559,19.96370211,196534,27.52226257,206893,28.97291802,93347,13.07214347
Comisiones de derechos humanos,Guerrero,91540,12.81909449,237794,33.30023764,210470,29.47383457,73409,10.28006234
Instituciones religiosas,Guerrero,67424,9.441933871,196154,27.46904806,240446,33.67161888,134914,18.89311026
Compañeros del trabajo,Guerrero,44198,6.189407232,168871,23.64838655,222659,31.18075988,108771,15.23209227
Vecinos,Guerrero,30820,4.315976535,155487,21.77411562,247082,34.60091221,175246,24.54112991
Familiares,Guerrero,33302,4.663551284,138049,19.33212994,257194,36.01697823,223817,31.34292408
,,,,,,,,,
Hidalgo,386350,,,,,,,,
Policías,Hidalgo,209061,54.11181571,122373,31.67412968,42139,10.90694966,6184,1.600621198
Partidos políticos,Hidalgo,194161,50.25520901,125772,32.5539019,42988,11.12669859,13816,3.576032095
Gobiernos Estatales,Hidalgo,139284,36.05124887,147895,38.28005694,59125,15.3034813,24185,6.259867995
Gobierno Federal,Hidalgo,162755,42.12631034,120264,31.12825159,55935,14.4778051,22344,5.78335706
Ministerio Público,Hidalgo,144483,37.39691989,132829,34.38048402,68175,17.64591691,23543,6.093697425
Diputados y Senadores,Hidalgo,145027,37.53772486,125534,32.49229973,57505,14.88417238,31469,8.145205125
Gobiernos Municipales,Hidalgo,127332,32.95768086,139352,36.06884949,77435,20.04270739,27565,7.134722402
Institutos electorales,Hidalgo,120066,31.07700272,124115,32.12501618,79297,20.52465381,39442,10.20887796
Medios de comunicación,Hidalgo,109715,28.39782581,129295,33.46576938,84470,21.86359519,41679,10.78788663
Empresarios,Hidalgo,86337,22.34683577,138941,35.96246926,91838,23.77067426,36752,9.512618092
Jueces y magistrados,Hidalgo,89786,23.23954963,123728,32.02484794,90074,23.31409344,47053,12.17885337
Sindicatos,Hidalgo,94450,24.44674518,118450,30.65872913,76932,19.91251456,59864,15.49475864
Hospitales públicos,Hidalgo,66589,17.23540831,123487,31.96246926,121961,31.56749062,57200,14.80522842
Universidades públicas,Hidalgo,54235,14.03778957,103731,26.84897114,138264,35.78723955,45448,11.76342694
Escuelas públicas,Hidalgo,48629,12.58677365,98127,25.39847289,149792,38.77106251,66681,17.25922091
Instituciones religiosas,Hidalgo,52007,13.46111039,83141,21.51960657,122218,31.63401061,105375,27.27449204
Comisiones de derechos humanos,Hidalgo,43241,11.19218325,77494,20.05797852,139719,36.16384108,84487,21.86799534
Compañeros del trabajo,Hidalgo,31226,8.082308787,80457,20.8248997,131754,34.1022389,101984,26.39679047
Ejército y Marina,Hidalgo,34739,8.991587938,67381,17.44040378,120676,31.23489064,114418,29.61511583
Vecinos,Hidalgo,19541,5.057849101,54370,14.07273198,129086,33.41167335,152235,39.40339071
Familiares,Hidalgo,15075,3.90190242,53557,13.86230102,119743,30.99339977,179602,46.48686424
,,,,,,,,,
Jalisco,3071246,,,,,,,,
Policías,Jalisco,1878804,61.17399909,931315,30.32368622,190712,6.209597017,60949,1.984504009
Partidos políticos,Jalisco,1806208,58.81026788,892285,29.05286649,246791,8.035533461,70787,2.304830027
Diputados y Senadores,Jalisco,1547389,50.38310184,1011843,32.94568393,223727,7.284567892,111002,3.614233441
Gobiernos Estatales,Jalisco,1431757,46.61811525,1111548,36.19208621,332028,10.81085657,84602,2.754647462
Gobierno Federal,Jalisco,1628677,53.02984522,896218,29.18092527,337329,10.98345753,74439,2.42373942
Gobiernos Municipales,Jalisco,1387234,45.16844304,1073845,34.9644737,393318,12.80646357,98254,3.199157606
Ministerio Público,Jalisco,1470245,47.87128742,942369,30.68360529,388022,12.63402541,159259,5.185484979
Jueces y magistrados,Jalisco,1203934,39.20018129,1073082,34.93963037,367833,11.97667006,178664,5.817313234
Empresarios,Jalisco,962460,31.33776975,1300442,42.34248901,511127,16.64233344,104585,3.40529544
Medios de comunicación,Jalisco,1229200,40.02284415,962090,31.32572252,516971,16.83261452,219894,7.159765125
Sindicatos,Jalisco,1168114,38.03387941,941618,30.65915267,484789,15.78476618,174985,5.697524718
Institutos electorales,Jalisco,1116076,36.33951823,907336,29.54292818,561261,18.27470024,324568,10.56795841
Universidades públicas,Jalisco,613369,19.97134062,1180865,38.44905293,787698,25.64750593,148400,4.831915125
Hospitales públicos,Jalisco,627341,20.42626999,989127,32.20604927,940562,30.62476923,294682,9.594868011
Escuelas públicas,Jalisco,440975,14.35817906,1010676,32.90768633,1068149,34.77901152,376446,12.25710998
Instituciones religiosas,Jalisco,541388,17.62763387,733144,23.8712236,988608,32.18915059,672794,21.90622308
Comisiones de derechos humanos,Jalisco,512006,16.67095374,739948,24.09276235,907333,29.5428305,544670,17.73449603
Ejército y Marina,Jalisco,637055,20.74255856,574226,18.69684161,930983,30.31287627,563142,18.33594574
Compañeros del trabajo,Jalisco,255956,8.333946548,739393,24.07469151,953355,31.04131027,654002,21.29435415
Vecinos,Jalisco,175760,5.722758776,461165,15.01556697,1108936,36.10703929,1097727,35.74207341
Familiares,Jalisco,109635,3.569723819,462483,15.05848115,1076174,35.04030612,1357789,44.20971163
,,,,,,,,,
Estado de México,8347648,,,,,,,,
Partidos políticos,Estado de México,5073331,60.77557415,2574174,30.83711723,442925,5.30598559,85528,1.024576024
Policías,Estado de México,5737038,68.72640054,1892902,22.67587229,574286,6.879614473,54088,0.647942989
Diputados y Senadores,Estado de México,4180830,50.08392783,2965861,35.52930119,572519,6.858446834,168402,2.017358662
Ministerio Público,Estado de México,4928328,59.03852199,2108868,25.26302019,766163,9.178190072,142311,1.704803557
Gobiernos Municipales,Estado de México,4414640,52.88483654,2584500,30.96081675,757253,9.07145342,184387,2.208849726
Gobiernos Estatales,Estado de México,4171719,49.97478332,2817870,33.75645451,814040,9.75172887,160128,1.918240922
Gobierno Federal,Estado de México,4427488,53.03874816,2497586,29.91963724,707242,8.472350535,138063,1.653914971
Institutos electorales,Estado de México,3501740,41.94882199,2679787,32.10229995,1309583,15.6880477,407714,4.884178154
Jueces y magistrados,Estado de México,2923983,35.02762694,3210161,38.45587404,1121377,13.43344856,301779,3.61513806
Medios de comunicación,Estado de México,3016390,36.13460941,2818619,33.7654271,1464300,17.54146797,429557,5.145844674
Sindicatos,Estado de México,2668786,31.97051433,2725459,32.64942413,1118017,13.3931977,430096,5.152301582
Empresarios,Estado de México,2309437,27.66572093,2895508,34.6865129,1731414,20.74133936,314986,3.77335029
Escuelas públicas,Estado de México,1099014,13.16555274,2757305,33.03092081,2706164,32.41828117,1069890,12.81666405
Instituciones religiosas,Estado de México,1519412,18.20167789,2104079,25.20565074,2121734,25.41714744,1700180,20.36717408
Hospitales públicos,Estado de México,1234052,14.78322996,2201491,26.37259022,3053773,36.58243615,978932,11.72703976
Ejército y Marina,Estado de México,1353374,16.21263858,2068090,24.77452331,2587004,30.99081322,986745,11.82063499
Comisiones de derechos humanos,Estado de México,1122906,13.4517651,2072109,24.82266861,2789675,33.4186947,1011982,12.12295966
Universidades públicas,Estado de México,975549,11.68651337,2170905,26.00618761,2381089,28.52407049,645428,7.73185453
Compañeros del trabajo,Estado de México,745959,8.936157826,1445676,17.31836321,2001268,23.97403436,1664092,19.93486069
Vecinos,Estado de México,668116,8.003643661,1423548,17.05328255,2279088,27.30215745,2699281,32.33582681
Familiares,Estado de México,347685,4.165065417,929718,11.13748447,2516886,30.15084009,3890170,46.60198897
,,,,,,,,,
Michoacán de Ocampo,822059,,,,,,,,
Policías,Michoacán de Ocampo,527251,64.13785385,214053,26.038642,55256,6.721658664,13187,1.604142768
Partidos políticos,Michoacán de Ocampo,433393,52.72042518,273896,33.31828981,66709,8.114867668,28477,3.464106591
Gobiernos Estatales,Michoacán de Ocampo,368903,44.87548947,289388,35.20282607,108755,13.22958571,24303,2.956357147
Diputados y Senadores,Michoacán de Ocampo,374096,45.50719596,275690,33.53652232,106572,12.964033,24868,3.025087007
Ministerio Público,Michoacán de Ocampo,398097,48.42681608,247564,30.11511339,108288,13.17277714,23171,2.818654136
Gobierno Federal,Michoacán de Ocampo,398932,48.5283903,246311,29.96269124,109911,13.37020822,21548,2.621223051
Gobiernos Municipales,Michoacán de Ocampo,299862,36.47694387,314388,38.24397032,142628,17.35009288,26908,3.273244378
Medios de comunicación,Michoacán de Ocampo,225869,27.47600841,331494,40.32484286,153235,18.64038956,61759,7.512721106
Empresarios,Michoacán de Ocampo,237115,28.84403674,301013,36.61695815,195286,23.75571583,31889,3.879161958
Jueces y magistrados,Michoacán de Ocampo,229412,27.90699938,306328,37.26350542,175918,21.39968056,42428,5.161186727
Institutos electorales,Michoacán de Ocampo,224041,27.25363995,307071,37.35388822,186945,22.74106846,65260,7.938602947
Sindicatos,Michoacán de Ocampo,231095,28.11172921,283044,34.43110531,182118,22.15388433,51131,6.219869863
Hospitales públicos,Michoacán de Ocampo,170376,20.7255197,277750,33.7871126,253902,30.88610428,80086,9.742123132
Universidades públicas,Michoacán de Ocampo,154679,18.81604605,287644,34.99067585,234005,28.4657184,31842,3.873444607
Escuelas públicas,Michoacán de Ocampo,113991,13.86652296,276784,33.66960279,311666,37.91285054,80069,9.740055154
Comisiones de derechos humanos,Michoacán de Ocampo,95295,11.59223365,229991,27.97743228,292264,35.55267931,115042,13.99437267
Ejército y Marina,Michoacán de Ocampo,93227,11.3406702,199640,24.28536151,292202,35.54513727,152345,18.53212482
Instituciones religiosas,Michoacán de Ocampo,107226,13.04358933,184795,22.47953006,307292,37.38077194,160662,19.54385269
Compañeros del trabajo,Michoacán de Ocampo,60959,7.41540449,173216,21.07099369,251120,30.54768575,173490,21.10432463
Vecinos,Michoacán de Ocampo,41165,5.00754812,151431,18.42094059,325477,39.59290027,222132,27.02141817
Familiares,Michoacán de Ocampo,32560,3.96078627,111255,13.53370014,338526,41.18025592,282335,34.34485846
,,,,,,,,,
Morelos,726528,,,,,,,,
Policías,Morelos,466528,64.21335447,200052,27.53534619,39662,5.459115134,5144,0.708025018
Partidos políticos,Morelos,446606,61.47127158,206943,28.48382994,41534,5.716778982,8411,1.157697983
Gobiernos Estatales,Morelos,419794,57.78084258,230063,31.66608857,43998,6.055926268,8189,1.127141693
Gobiernos Municipales,Morelos,337283,46.42395063,281851,38.7942378,70991,9.771268279,8579,1.180821661
Gobierno Federal,Morelos,401370,55.24494582,207451,28.55375154,59351,8.169127687,12960,1.783826638
Diputados y Senadores,Morelos,363006,49.96448864,236848,32.59998238,53544,7.369846723,13960,1.921467583
Ministerio Público,Morelos,370443,50.98812434,229377,31.57166689,55302,7.611819503,18459,2.540714191
Institutos electorales,Morelos,292023,40.19432149,251470,34.61256827,93732,12.90136099,31088,4.278981677
Medios de comunicación,Morelos,240796,33.14338883,282794,38.92403321,110435,15.20037769,28232,3.88587914
Jueces y magistrados,Morelos,240635,33.12122864,276027,37.99261694,101124,13.91880285,24406,3.359264887
Empresarios,Morelos,177947,24.49279312,276553,38.06501608,148648,20.46005109,37466,5.15685562
Sindicatos,Morelos,178745,24.60263059,252548,34.76094521,143113,19.69820847,55551,7.646092098
Universidades públicas,Morelos,126518,17.41405699,265729,36.5751905,188507,25.94628149,27146,3.736401075
Escuelas públicas,Morelos,113410,15.6098595,268082,36.89905964,225679,31.06267067,70413,9.691711813
Hospitales públicos,Morelos,141472,19.47233968,233117,32.08644402,216886,29.85239385,76689,10.55554638
Comisiones de derechos humanos,Morelos,77445,10.65960293,205394,28.27062412,235223,32.37631585,88762,12.2172855
Ejército y Marina,Morelos,90485,12.45444085,163001,22.43561157,227722,31.34387112,125855,17.32280105
Instituciones religiosas,Morelos,73554,10.12404202,148243,20.40430651,243338,33.49327211,195517,26.91114451
Compañeros del trabajo,Morelos,60082,8.269743217,149618,20.59356281,229191,31.54606567,191059,26.29754118
Vecinos,Morelos,31570,4.345324612,102419,14.09704788,259001,35.64914222,267065,36.7590788
Familiares,Morelos,25235,3.47336923,90998,12.52505065,230962,31.78982778,340953,46.92909289
,,,,,,,,,
Nayarit,287045,,,,,,,,
Partidos políticos,Nayarit,165575,57.68259332,90438,31.50655821,17518,6.102875856,5658,1.971119511
Policías,Nayarit,140940,49.10031528,96488,33.61424167,31288,10.9000331,7931,2.762981414
Gobiernos Estatales,Nayarit,136919,47.69948963,98778,34.41202599,35201,12.26323399,6715,2.339354457
Gobierno Federal,Nayarit,146266,50.95577348,87118,30.34994513,31235,10.88156909,8324,2.899893745
Diputados y Senadores,Nayarit,124071,43.22353638,98161,34.19707711,36182,12.60499225,10004,3.485167831
Gobiernos Municipales,Nayarit,91539,31.89012176,115421,40.21007159,55515,19.34017314,10613,3.697329687
Institutos electorales,Nayarit,92377,32.18206205,108868,37.92715428,57348,19.97874898,15979,5.566722988
Sindicatos,Nayarit,83449,29.07174833,116435,40.56332631,49109,17.10846731,15368,5.353864377
Ministerio Público,Nayarit,92583,32.2538278,104775,36.50124545,56393,19.64604853,15957,5.559058684
Empresarios,Nayarit,86889,30.2701667,108917,37.94422477,60880,21.20921807,10443,3.638105524
Medios de comunicación,Nayarit,80383,28.00362313,113472,39.53108398,58057,20.22574858,18690,6.511174206
Jueces y magistrados,Nayarit,71874,25.03927956,109922,38.29434409,64659,22.52573638,12903,4.495114007
Hospitales públicos,Nayarit,62875,21.90423104,107638,37.49865004,82358,28.69166855,20414,7.111776899
Universidades públicas,Nayarit,50928,17.74216586,116948,40.74204393,79522,27.70367016,15612,5.43886847
Escuelas públicas,Nayarit,28873,10.0587016,96050,33.46165235,114248,39.80142486,34490,12.01553763
Comisiones de derechos humanos,Nayarit,28903,10.06915292,80231,27.95066976,105442,36.7336132,44498,15.50209897
Instituciones religiosas,Nayarit,26870,9.360901601,77509,27.00238639,97660,34.02254002,62840,21.89203783
Ejército y Marina,Nayarit,23710,8.260028915,69040,24.05197791,97617,34.00755979,62939,21.9265272
Compañeros del trabajo,Nayarit,20696,7.210019335,56578,19.71049835,90556,31.54766674,78599,27.38211779
Vecinos,Nayarit,9980,3.476806772,48649,16.94821369,91747,31.96258426,113315,39.47638872
Familiares,Nayarit,10013,3.488303228,44905,15.64388859,104873,36.53538644,120673,42.03974987
,,,,,,,,,
Nuevo León,2890921,,,,,,,,
Policías,Nuevo León,1753222,60.64579419,832494,28.79684364,216819,7.499997406,31640,1.0944609
Partidos políticos,Nuevo León,1590379,55.01288344,953930,32.99744268,203867,7.051974094,46242,1.599559448
Gobiernos Estatales,Nuevo León,1556321,53.83478137,881602,30.49554104,285244,9.866890171,67492,2.334619313
Gobierno Federal,Nuevo León,1535610,53.11836608,867194,29.99715316,237085,8.201019675,70455,2.437112602
Gobiernos Municipales,Nuevo León,1332323,46.0864548,976984,33.79490481,369833,12.79291271,92580,3.202439638
Diputados y Senadores,Nuevo León,1368813,47.34868231,895473,30.97535353,284493,9.840912291,83835,2.899940884
Ministerio Público,Nuevo León,1239792,42.88571012,923033,31.92868294,464654,16.07287089,109873,3.800622708
Sindicatos,Nuevo León,1039553,35.95923237,957128,33.10806487,458742,15.86836859,189857,6.567353449
Medios de comunicación,Nuevo León,937536,32.43035697,965165,33.38607316,609574,21.08580622,194124,6.71495347
Jueces y magistrados,Nuevo León,932973,32.272518,967813,33.47767026,510450,17.65700273,187720,6.49343237
Institutos electorales,Nuevo León,821777,28.42613133,984046,34.03918682,613093,21.20753213,262522,9.080912277
Empresarios,Nuevo León,589107,20.37783115,1021750,35.34340786,868795,30.05253343,162530,5.622083758
Hospitales públicos,Nuevo León,525473,18.17666412,987496,34.15852595,871935,30.16114934,304759,10.54193456
Universidades públicas,Nuevo León,384289,13.29296096,956909,33.10048943,873931,30.23019308,191257,6.615780922
Escuelas públicas,Nuevo León,309031,10.68970754,743610,25.72225253,1167151,40.37298148,511233,17.68408753
Comisiones de derechos humanos,Nuevo León,373406,12.91650654,655528,22.67540344,1018393,35.2272857,522773,18.08326827
Ejército y Marina,Nuevo León,266282,9.210974634,608907,21.06273399,1002706,34.68465586,732568,25.34029813
Instituciones religiosas,Nuevo León,226177,7.823700475,555903,19.22926984,1068456,36.95901756,814436,28.17219841
Compañeros del trabajo,Nuevo León,204209,7.063804234,535446,18.52164068,1124312,38.89113539,662821,22.92767599
Vecinos,Nuevo León,125323,4.335054469,371240,12.84158232,1072419,37.0961019,1066705,36.89844863
Familiares,Nuevo León,109823,3.798893156,363049,12.55824701,1128246,39.02721659,1184721,40.98074627
,,,,,,,,,
Oaxaca,456862,,,,,,,,
Partidos políticos,Oaxaca,277668,60.777215,146094,31.9777088,27367,5.990211486,4143,0.906838389
Policías,Oaxaca,248102,54.30567655,166742,36.49723549,34481,7.547355657,6050,1.324251087
Diputados y Senadores,Oaxaca,228860,50.09390144,185525,40.60854262,29626,6.48467152,7379,1.615148557
Gobierno Federal,Oaxaca,259479,56.79592525,149186,32.65449961,36434,7.974837041,8787,1.923337901
Gobiernos Estatales,Oaxaca,223612,48.9451957,179125,39.20768197,44142,9.66199859,7220,1.580345925
Ministerio Público,Oaxaca,215836,47.24315001,174568,38.21022541,49702,10.87899628,7855,1.719337568
Gobiernos Municipales,Oaxaca,200063,43.79068515,189468,41.47160412,57042,12.48560835,7262,1.589539073
Sindicatos,Oaxaca,193889,42.43929239,184558,40.39688133,59014,12.91724853,12391,2.712197556
Universidades públicas,Oaxaca,132733,29.05319331,226109,49.49175024,83631,18.30552771,8062,1.764646655
Medios de comunicación,Oaxaca,155807,34.10373373,193645,42.38588458,80888,17.70512759,16665,3.647709812
Institutos electorales,Oaxaca,190299,41.65349712,157915,34.56514221,85131,18.63385442,18355,4.017624578
Empresarios,Oaxaca,145951,31.94640832,194782,42.63475623,101774,22.27674878,7805,1.708393344
Jueces y magistrados,Oaxaca,150578,32.9591868,189361,41.44818348,87627,19.18019008,20361,4.456706839
Hospitales públicos,Oaxaca,90260,19.75651291,165342,36.19079722,163038,35.68648739,33501,7.332848869
Escuelas públicas,Oaxaca,66531,14.56260315,182676,39.98494075,174811,38.26341434,29978,6.561718856
Comisiones de derechos humanos,Oaxaca,71548,15.66074657,148553,32.51594573,193017,42.24842513,27858,6.097683764
Ejército y Marina,Oaxaca,71547,15.66052769,127732,27.95855204,181410,39.707833,57707,12.63116652
Instituciones religiosas,Oaxaca,42117,9.218757524,139584,30.55277086,180068,39.41409003,87313,19.11146035
Compañeros del trabajo,Oaxaca,44939,9.836449519,120551,26.3867426,201000,43.99577991,58943,12.90170774
Vecinos,Oaxaca,34040,7.450827602,79350,17.36848326,210754,46.1307791,121400,26.57257553
Familiares,Oaxaca,14140,3.095026507,74011,16.19985904,228569,50.03020606,135058,29.56209972
,,,,,,,,,
Puebla,1639325,,,,,,,,
Policías,Puebla,915285,55.83304104,556967,33.97538621,135484,8.264621109,18414,1.123267198
Partidos políticos,Puebla,838170,51.12897077,627249,38.26263859,118744,7.243469111,38877,2.371524865
Gobierno Federal,Puebla,782229,47.71652967,559789,34.14753023,153918,9.389108322,57761,3.523462401
Diputados y Senadores,Puebla,701735,42.80633797,598224,36.49209278,171459,10.45912189,69928,4.265658121
Ministerio Público,Puebla,684828,41.77499886,608755,37.13449133,218116,13.30523234,59095,3.604837357
Gobiernos Estatales,Puebla,629193,38.38122398,656213,40.02946335,223922,13.6594025,79464,4.847360956
Gobiernos Municipales,Puebla,591562,36.08570601,688822,42.01863572,246656,15.04619279,68305,4.166653958
Empresarios,Puebla,504193,30.75613438,699072,42.64389307,267182,16.2982935,72801,4.440913181
Institutos electorales,Puebla,572374,34.91522425,623254,38.01894072,274412,16.73932869,122238,7.456605615
Medios de comunicación,Puebla,511820,31.22138685,641420,39.12707974,304177,18.55501502,127298,7.765269242
Sindicatos,Puebla,494031,30.1362451,642810,39.21187074,258874,15.79149955,120064,7.323990057
Jueces y magistrados,Puebla,427786,26.09525262,697139,42.52597868,301633,18.3998292,104126,6.351760633
Universidades públicas,Puebla,284855,17.37635917,592034,36.11449835,467981,28.54717643,125905,7.680295243
Escuelas públicas,Puebla,252478,15.40133897,614129,37.46230918,545532,33.27784301,183195,11.17502631
Hospitales públicos,Puebla,278756,17.0043158,503617,30.72099797,576985,35.19649856,185812,11.33466518
Instituciones religiosas,Puebla,219260,13.37501716,473985,28.91342473,523204,31.91581901,359422,21.92499962
Comisiones de derechos humanos,Puebla,235519,14.36682781,453515,27.66474006,581652,35.4811889,247916,15.1230537
Ejército y Marina,Puebla,203224,12.39680966,420703,25.66318454,572149,34.90149909,242088,14.76754152
Compañeros del trabajo,Puebla,163586,9.978863252,425710,25.96861513,494528,30.16656246,341497,20.83156177
Vecinos,Puebla,124929,7.620758544,283570,17.29797325,555313,33.87449103,581807,35.49064402
Familiares,Puebla,80638,4.918975798,240780,14.68775258,626219,38.19980785,654748,39.9400973
,,,,,,,,,
Querétaro,735219,,,,,,,,
Partidos políticos,Querétaro,435546,59.24030799,211495,28.76625876,49234,6.696508115,12675,1.723976121
Policías,Querétaro,358818,48.80423384,228439,31.0708782,116033,15.7821003,15896,2.162076878
Diputados y Senadores,Querétaro,364620,49.59338646,216671,29.47026668,72022,9.795992759,32359,4.401273634
Gobierno Federal,Querétaro,362787,49.34407299,217518,29.58547045,81751,11.11927194,23862,3.245563567
Ministerio Público,Querétaro,264650,35.99607736,251996,34.27495753,126719,17.23554478,51189,6.96241528
Gobiernos Estatales,Querétaro,220981,30.05648657,293817,39.96319464,145320,19.76553925,28745,3.909719417
Gobiernos Municipales,Querétaro,212657,28.92430691,275011,37.40531733,146326,19.90236923,46336,6.302339847
Medios de comunicación,Querétaro,242954,33.04511989,234497,31.89485038,164354,22.35442773,46148,6.276769235
Sindicatos,Querétaro,244476,33.25213304,228650,31.09957713,124702,16.96120476,71911,9.780895216
Empresarios,Querétaro,170530,23.19444954,290810,39.55420086,177889,24.1953758,36595,4.977428494
Institutos electorales,Querétaro,214558,29.18286932,224230,30.49839572,181557,24.69427477,71461,9.719688963
Jueces y magistrados,Querétaro,176454,24.00019586,249740,33.96811018,178302,24.25154954,54553,7.419966024
Universidades públicas,Querétaro,109175,14.84931701,226937,30.86658533,260368,35.41366586,43707,5.944759317
Escuelas públicas,Querétaro,116246,15.81107126,219371,29.8375042,256086,34.83125436,91763,12.48104306
Hospitales públicos,Querétaro,120112,16.33690098,207181,28.17949482,258632,35.17754574,81831,11.13015306
Comisiones de derechos humanos,Querétaro,72060,9.801161287,194859,26.5035316,277173,37.69937937,96253,13.09174545
Instituciones religiosas,Querétaro,106890,14.53852526,157545,21.42830912,248726,33.83019209,174101,23.68015516
Ejército y Marina,Querétaro,81624,11.10199818,181328,24.66312759,231937,31.54665481,145544,19.79600636
Compañeros del trabajo,Querétaro,47497,6.460251979,141983,19.31166088,280675,38.17570003,169354,23.0344972
Familiares,Querétaro,34925,4.750285289,101711,13.83410929,245859,33.44024025,332867,45.27453725
Vecinos,Querétaro,35917,4.885211073,76979,10.47021364,260556,35.43923647,294614,40.07159771
,,,,,,,,,
Quintana Roo,784335,,,,,,,,
Policías,Quintana Roo,427395,54.49138442,269294,34.33405369,66302,8.453275705,4551,0.580236761
Partidos políticos,Quintana Roo,396357,50.53414676,261620,33.35564523,69341,8.840737695,24069,3.068714261
Gobierno Federal,Quintana Roo,346613,44.19195879,251030,32.00545685,82348,10.49908521,17083,2.178023421
Ministerio Público,Quintana Roo,298998,38.12121096,278758,35.54068096,98489,12.55700689,44405,5.661483932
Diputados y Senadores,Quintana Roo,301047,38.38245138,272029,34.68275673,60132,7.666622043,29600,3.773897633
Gobiernos Estatales,Quintana Roo,270782,34.52376854,291991,37.22784269,111087,14.16320832,20638,2.631273627
Gobiernos Municipales,Quintana Roo,239002,30.47192845,316931,40.40760644,129987,16.57289296,33174,4.229570273
Empresarios,Quintana Roo,211011,26.90317275,294948,37.60484997,140301,17.88789229,28887,3.682992599
Sindicatos,Quintana Roo,220840,28.15633626,283705,36.17140635,109058,13.90451784,68666,8.754677529
Institutos electorales,Quintana Roo,247685,31.57898092,254002,32.38437657,133754,17.05317243,67444,8.598876755
Medios de comunicación,Quintana Roo,188071,23.97840209,299581,38.19554145,172090,21.94087985,57577,7.340868379
Jueces y magistrados,Quintana Roo,169405,21.59855164,247776,31.59058311,136522,17.40608286,50752,6.470704482
Hospitales públicos,Quintana Roo,114802,14.63685798,254497,32.44748736,261255,33.30910899,75594,9.63797357
Escuelas públicas,Quintana Roo,76793,9.790841923,218740,27.88859352,280819,35.80345133,120979,15.42440411
Comisiones de derechos humanos,Quintana Roo,92715,11.82084186,202203,25.78018321,233703,29.79632427,107829,13.74782459
Universidades públicas,Quintana Roo,73883,9.419826987,208403,26.57066177,231208,29.4782204,65871,8.398324695
Instituciones religiosas,Quintana Roo,58526,7.461862597,173848,22.16501877,236591,30.16453429,215990,27.53797803
Compañeros del trabajo,Quintana Roo,43808,5.585368497,157033,20.02116443,265159,33.80685549,185220,23.61490945
Ejército y Marina,Quintana Roo,51703,6.591953693,145824,18.59205569,261646,33.35896014,191967,24.47512861
Familiares,Quintana Roo,16587,2.114785136,102184,13.02810661,246101,31.3770264,374082,47.6941613
Vecinos,Quintana Roo,31024,3.955452708,72926,9.297812797,248628,31.69921016,317638,40.4977465
,,,,,,,,,
San Luis Potosí,832491,,,,,,,,
Policías,San Luis Potosí,540113,64.87913983,222574,26.73590465,51147,6.143850204,3749,0.450335199
Partidos políticos,San Luis Potosí,445212,53.47949708,286269,34.38703842,62044,7.452813304,4584,0.550636583
Gobiernos Estatales,San Luis Potosí,331074,39.76907858,369585,44.39507454,84297,10.12587523,7153,0.859228508
Gobierno Federal,San Luis Potosí,404093,48.54022446,290013,34.83677301,78785,9.463765975,6256,0.751479596
Ministerio Público,San Luis Potosí,379241,45.55496696,310321,37.27619878,86313,10.36804001,9624,1.156048534
Gobiernos Municipales,San Luis Potosí,281749,33.84408961,396476,47.62525961,106391,12.77983786,7983,0.958929286
Diputados y Senadores,San Luis Potosí,317368,38.12269442,345148,41.45966743,81077,9.739084266,16590,1.992814337
Empresarios,San Luis Potosí,195089,23.43436746,365461,43.89969381,186033,22.34654789,15005,1.802421888
Sindicatos,San Luis Potosí,201908,24.25347541,343344,41.24296839,146303,17.57412392,26850,3.225260093
Jueces y magistrados,San Luis Potosí,178401,21.42978122,362563,43.55158194,158669,19.05954539,23300,2.798829056
Medios de comunicación,San Luis Potosí,202657,24.34344636,330487,39.69856731,205988,24.7435708,36379,4.369897092
Institutos electorales,San Luis Potosí,182880,21.96780506,295206,35.46056354,224201,26.9313422,67870,8.152640689
Hospitales públicos,San Luis Potosí,128426,15.42671332,276719,33.23987887,292837,35.1759959,63733,7.65569838
Escuelas públicas,San Luis Potosí,96325,11.57069566,280477,33.69129516,320365,38.48269831,63141,7.5845865
Universidades públicas,San Luis Potosí,97063,11.65934527,273863,32.8968121,269721,32.39926918,42723,5.131947372
Comisiones de derechos humanos,San Luis Potosí,81587,9.80034619,251901,30.2587055,316733,38.04641732,77299,9.285265546
Instituciones religiosas,San Luis Potosí,85701,10.29452571,206359,24.78813585,301878,36.26201364,160201,19.2435714
