entidad,Población de 18 años y más,MuyFrecuente_tot,Muy_frecuente,Frecuente_tot,Frecuente,Pocofrecuente_tot,Poco_frecuente,Nunca_tot,Nunca
Estados Unidos Mexicanos,46009028,22479772,48.85948036,18375859,39.93968097,4126381,8.968633286,441213,0.958970487
Aguascalientes,566490,164595,29.05523487,293725,51.84998853,82373,14.54094512,11553,2.039400519
Baja California,1795114,809845,45.11384792,796041,44.34487169,156293,8.706577967,9621,0.53595482
Baja California Sur,184470,70166,38.03653711,84471,45.79118556,23290,12.62535914,4868,2.638911476
Campeche,314894,111304,35.34649755,149187,47.37689508,44212,14.04028022,3131,0.994302845
Coahuila de Zaragoza,1381659,642822,46.52537276,510489,36.94753915,164720,11.92189969,31738,2.297093567
Colima,302229,124235,41.10624725,132497,43.83993594,34266,11.33776044,3979,1.316551357
Chiapas,722647,403930,55.89589385,275713,38.1532062,40328,5.580594675,0,0
Chihuahua,1819279,878841,48.30710408,679864,37.36996909,198980,10.93729989,28023,1.540335485
Ciudad de México,7156090,4441077,62.06010545,2363035,33.02131471,310508,4.339073433,26044,0.363941761
Durango,637812,254980,39.97729739,294286,46.13992838,70818,11.10327181,12291,1.927056876
Guanajuato,1728037,709052,41.03222327,814630,47.14193041,166311,9.624273091,17069,0.987768202
Guerrero,714091,432085,60.50839459,232013,32.49067696,35547,4.977936986,3923,0.549369758
Hidalgo,386350,129504,33.51986541,170208,44.05539019,73350,18.98537595,5769,1.493205643
Jalisco,3071246,1572446,51.19895964,1262911,41.12047684,194325,6.327236568,37192,1.210974308
Estado de México,8347648,4230360,50.67726862,3267902,39.14757786,705737,8.454321505,12785,0.153156913
Michoacán de Ocampo,822059,459990,55.95583772,285553,34.73631455,54772,6.662782112,18535,2.254704346
Morelos,726528,371940,51.19417283,287007,39.50391451,48389,6.660307655,8262,1.137189482
Nayarit,287045,110093,38.35391663,133975,46.67386647,32366,11.27558397,4284,1.492448919
Nuevo León,2890921,1532491,53.01047659,1050509,36.33821194,243222,8.413304964,17204,0.595104467
Oaxaca,456862,224964,49.24112752,196223,42.95016876,30714,6.722817831,3966,0.868095836
Puebla,1639325,635870,38.78852577,735767,44.88231437,238480,14.54745093,22794,1.390450338
Querétaro,735219,187118,25.45064804,351510,47.81024429,166606,22.66073102,16039,2.181526865
Quintana Roo,784335,294671,37.56953343,358681,45.73058706,99070,12.63108238,13962,1.780106715
San Luis Potosí,832491,397772,47.78093697,352274,42.31565266,64731,7.775579556,3974,0.477362518
Sinaloa,1006653,517716,51.42943994,380911,37.83935477,90370,8.977274195,4418,0.43888013
Sonora,1211731,614232,50.69045853,471669,38.9252235,104640,8.635580009,9067,0.748268386
Tabasco,300354,167616,55.80614874,115115,38.32644147,15820,5.267118134,1369,0.455795495
Tamaulipas,1766559,740561,41.92110198,710908,40.24252799,209283,11.84692954,48120,2.723939591
Tlaxcala,474552,183672,38.70429373,215005,45.30694213,63302,13.33931793,5247,1.105674404
Veracruz de Ignacio de la Llave,1907763,740252,38.80209439,910250,47.71294967,169596,8.889783479,50506,2.647393832
Yucatán,771476,216117,28.01344436,364942,47.30438795,172036,22.29959195,4330,0.561261789
Zacatecas,267099,109455,40.97918749,128588,48.14244905,21926,8.208941254,1150,0.430551968
