"entidad","wjp_corrupcion","wjp_edoderecho","year","year_wjp","escolaridad","year_esc","exportaciones","inversion","irs","year_real","habla_indigena","year_li"
"Colima",0.3670997394776366,0.39013141413849467,2017,2018,9.528720419,2015,133681,496086741,-0.6576504,2015,0.633929,2015
"Durango",0.3237535442613409,0.418236481506409,2017,2018,9.147609659,2015,1672357,1577572025,-0.0325487,2015,2.407331,2015
"Estado de México",0.2833938384717877,0.35524781178532444,2017,2018,9.528067379,2015,18601992,23915792100,-0.4795274,2015,2.739034,2015
"Guanajuato",0.41656359708265456,0.4083260830762374,2017,2018,8.381850681,2015,23360291,3741493231,-0.0584027,2015,0.227985,2015
"Guerrero",0.2755213677260397,0.29111818782110144,2017,2018,7.802707422,2015,236957,1363910222,2.45145,2015,15.318964,2015
"Hidalgo",0.376085892316051,0.42336554473444754,2017,2018,8.715456678,2015,1788933,270215462,0.4495519,2015,14.222953,2015
"Jalisco",0.31061267450184327,0.36865220541608146,2017,2018,9.249860796,2015,18687649,2097576485,-0.6917049,2015,0.766556,2015
"Michoacán de Ocampo",0.347145212658906,0.3956345793960175,2017,2018,7.926166956,2015,1272574,1272093967,0.6252466,2015,3.558948,2015
"Morelos",0.3567399257666781,0.3652746021904162,2017,2018,9.303000614,2015,3490782,1381225179,-0.2088349,2015,1.980698,2015
"Nayarit",0.3543336382935922,0.3690897205548055,2017,2018,9.158921469,2015,124554,821447392,0.0126394,2015,5.41305,2015
"Nuevo León",0.38978445267171696,0.41729997650739653,2017,2018,10.27495586,2015,36004726,1217265021,-1.360326,2015,1.217869,2015
"Oaxaca",0.3384747859776521,0.38701067581658916,2017,2018,7.51576302,2015,603681,1260144314,2.539013,2015,32.153007,2015
"Puebla",0.32910071852511463,0.3612127155474737,2017,2018,8.493854344,2015,15019152,4093018206,0.8834226,2015,11.264054,2015
"Querétaro",0.4184164310094071,0.42676662663588216,2017,2018,9.553260268,2015,10478612,2302976497,-0.4259123,2015,1.676642,2015
"Quintana Roo",0.3081170008684362,0.3637547018589404,2017,2018,9.615036244,2015,33172,848919444,-0.3961296,2015,16.623827,2015
"San Luis Potosí",0.34177650575891044,0.38628783704333997,2017,2018,8.81999521,2015,13360588,2713485495,0.6110144,2015,9.996013,2015
"Sinaloa",0.35495394674935576,0.4085441498294905,2017,2018,9.581325259,2015,960133,3449516603,-0.4578008,2015,1.395216,2015
"Sonora",0.3254424663988662,0.356703665245391,2017,2018,10.00142937,2015,17443597,2134390587,-0.5882048,2015,2.440612,2015
"Tabasco",0.35548809346602195,0.3753458133713256,2017,2018,9.311768933,2015,6412526,1218290366,-0.1544757,2015,2.72302,2015
"Tamaulipas",0.38608829083036644,0.38114544475533607,2017,2018,9.508512087,2015,25507316,1558600865,-0.5268046,2015,0.738607,2015
"Tlaxcala",0.33256758480096266,0.3766838308917142,2017,2018,9.274111563,2015,1379963,816458573,-0.1736643,2015,2.737685,2015
"Veracruz de Ignacio de la Llave",0.31182167834016994,0.36757255229047825,2017,2018,8.203437948,2015,5362862,1215971390,1.199394,2015,9.194051,2015
"Yucatán",0.3802366616521822,0.45017909822169744,2017,2018,8.821077329,2015,962964,390008189,0.2944613,2015,28.891132,2015
"Zacatecas",0.41780019311263683,0.43715923836770815,2017,2018,8.629599032,2015,3026697,1129760635,-0.3303741,2015,0.251678,2015
"Aguascalientes",0.41239124492501733,0.4488903568266332,2019,2019,10.349134,2020,11794073,1246757374,-1.101561,2020,0.0018776322162937654,2020
"Baja California",0.3834984839651051,0.4016752147463326,2019,2019,10.202655,2020,42396951,626236110,-0.6423869999999999,2020,0.013606237212131014,2020
"Baja California Sur",0.3574057693514688,0.3898284351478833,2019,2019,10.342548,2020,291812,288884940,-0.317027,2020,0.017901724397014665,2020
"Campeche",0.3917911902692557,0.42930607750289235,2019,2019,9.62513,2020,16579076,1332993305,0.244535,2020,0.1044941083266555,2020
"Chiapas",0.2960808094923743,0.37777925607436424,2019,2019,7.783218,2020,820170,1760611690,2.644224,2020,0.2816804321325128,2020
"Chihuahua",0.363388169962461,0.3955697404909778,2019,2019,9.996942,2020,57434140,870606130,-0.518357,2020,0.030949393324893285,2020
"Ciudad de México",0.28003536623392017,0.35871296339780073,2019,2019,11.482039,2020,2667127,5958172471,-1.115345,2020,0.014009925035544504,2020
"Coahuila de Zaragoza",0.3509854213407556,0.4267898808465814,2019,2019,10.431996,2020,47659461,2904470705,-1.147587,2020,0.0018545461378330096,2020
"Colima",0.4095923028898581,0.40694625084290664,2019,2019,10.04673,2020,684838,265012164,-0.690655,2020,0.007444760874566496,2020
"Durango",0.31479732867161997,0.42608710174578635,2019,2019,9.746069,2020,2737229,1627614426,-0.045956,2020,0.027249518654516802,2020
"Estado de México",0.30362957509709343,0.3639698543462157,2019,2019,10.082398,2020,20010001,14394120500,-0.298102,2020,0.02568274971712893,2020
"Guanajuato",0.43278643028214975,0.4248962227596448,2019,2019,9.043787,2020,25065798,2430115568,-0.20921199999999998,2020,0.002405085331051059,2020
"Guerrero",0.30276256988936967,0.33156534021124245,2019,2019,8.372699,2020,966475,1362324617,2.450336,2020,0.15485847290974844,2020
"Hidalgo",0.3950267929952039,0.4212312061806585,2019,2019,9.370759,2020,2299343,2000984218,0.32012599999999997,2020,0.12313809277540097,2020
"Jalisco",0.30522466394819864,0.3660700248682199,2019,2019,9.897353,2020,21659641,2872841653,-0.616826,2020,0.008462451764227144,2020
"Michoacán de Ocampo",0.33862442896505185,0.3868435349712627,2019,2019,8.59549,2020,5586480,1007749067,0.529919,2020,0.034481461732861304,2020
"Morelos",0.32536447037111116,0.3576307286230339,2019,2019,9.844782,2020,3086705,1007040284,-0.126541,2020,0.020187915538126343,2020
"Nayarit",0.3810894653296038,0.3954534779979379,2019,2019,9.729524,2020,266760,529962464,0.044037,2020,0.05879518769701185,2020
"Nuevo León",0.3972140977004137,0.4265768165450884,2019,2019,10.740959,2020,39857053,940757856,-1.254735,2020,0.014150864610656512,2020
"Oaxaca",0.3634885325752113,0.4007989486603689,2019,2019,8.118536,2020,712575,1306077079,2.590888,2020,0.3118359584407628,2020
"Puebla",0.3150009016409986,0.34540119564882926,2019,2019,9.160472,2020,17547974,1610099448,0.744487,2020,0.09867979614598317,2020
"Querétaro",0.4534586046217823,0.4270511405698559,2019,2019,10.484599,2020,12868797,1508006969,-0.5244909999999999,2020,0.01392686829850174,2020
"Quintana Roo",0.3069074654929869,0.35154612322135936,2019,2019,10.239289,2020,80908,737653894,-0.317166,2020,0.11694197664002008,2020
"San Luis Potosí",0.3389868090951453,0.382825099547469,2019,2019,9.613127,2020,15531677,1704192057,0.31912599999999997,2020,0.0860270143867627,2020
"Sinaloa",0.3884874610188344,0.4203687947414413,2019,2019,10.223508,2020,2840002,3194864936,-0.567552,2020,0.012317199335254556,2020
"Sonora",0.3428499071039962,0.3799003071457788,2019,2019,10.403197,2020,19840531,889780475,-0.650546,2020,0.022289563460560484,2020
"Tabasco",0.35925263431439186,0.37477168480797907,2019,2019,9.693396,2020,5012816,762814447,0.076399,2020,0.03986409638680852,2020
"Tamaulipas",0.378034583341862,0.3850181368151997,2019,2019,10.092209,2020,29130161,3593963165,-0.622628,2020,0.006727107979126394,2020
"Tlaxcala",0.31877937818744134,0.3678479414354298,2019,2019,9.83317,2020,1460866,1208380905,-0.040526,2020,0.02159935712224772,2020
"Veracruz de Ignacio de la Llave",0.3463557895527476,0.3793600332266149,2019,2019,8.745629,2020,6697248,968887117,1.143246,2020,0.08598649389615289,2020
"Yucatán",0.3959041306114529,0.4586627324035771,2019,2019,9.594718,2020,1119624,10120438,0.152467,2020,0.2369622519834778,2020
"Zacatecas",0.4363977912520434,0.42985454374657334,2019,2019,9.245563,2020,2873522,618977396,-0.452588,2020,0.003267297582591473,2020
